hash,min,max,std_dev,empty_buckets,empty_buckets_percent,colliding_buckets,colliding_buckets_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset,numelements
uniform_random,0,9,0.948718,69739415,0.348697,52783279,0.263916,122522694,0.612613,13530086000,67.6504,1,do_nothing,books_200M_uint32.ds,199999999
mult64,0,8,0.946235,70639792,0.353199,54272897,0.271364,124912689,0.624563,5072650000,25.3633,1,fastrange32,books_200M_uint32.ds,199999999
mult64,0,7,1.0439,79446472,0.397232,55443050,0.277215,134889522,0.674448,4870747000,24.3537,1,fastrange64,books_200M_uint32.ds,199999999
mult64,0,6,0.895072,65640913,0.328205,52635008,0.263175,118275921,0.59138,6604831000,33.0242,1,modulo,books_200M_uint32.ds,199999999
mult64,0,6,0.895072,65640913,0.328205,52635008,0.263175,118275921,0.59138,4774487000,23.8724,1,fast_modulo,books_200M_uint32.ds,199999999
mult64,0,6,0.895072,65640913,0.328205,52635008,0.263175,118275921,0.59138,4374663000,21.8733,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo64,0,8,0.998071,75031665,0.375158,54440927,0.272205,129472592,0.647363,4971932000,24.8597,1,fastrange32,books_200M_uint32.ds,199999999
fibo64,0,6,0.856709,61819992,0.3091,51211461,0.256057,113031453,0.565157,4855001000,24.275,1,fastrange64,books_200M_uint32.ds,199999999
fibo64,0,7,0.889451,64852717,0.324264,52160028,0.2608,117012745,0.585064,6610410000,33.0521,1,modulo,books_200M_uint32.ds,199999999
fibo64,0,7,0.889451,64852717,0.324264,52160028,0.2608,117012745,0.585064,4816299000,24.0815,1,fast_modulo,books_200M_uint32.ds,199999999
fibo64,0,7,0.889451,64852717,0.324264,52160028,0.2608,117012745,0.585064,4367658000,21.8383,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64,0,8,0.998071,75031665,0.375158,54440927,0.272205,129472592,0.647363,5001975000,25.0099,1,fastrange32,books_200M_uint32.ds,199999999
fibo_prime64,0,6,0.856709,61819992,0.3091,51211461,0.256057,113031453,0.565157,4795447000,23.9772,1,fastrange64,books_200M_uint32.ds,199999999
fibo_prime64,0,7,0.889451,64852717,0.324264,52160028,0.2608,117012745,0.585064,7035366000,35.1768,1,modulo,books_200M_uint32.ds,199999999
fibo_prime64,0,7,0.889451,64852717,0.324264,52160028,0.2608,117012745,0.585064,5053843000,25.2692,1,fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64,0,7,0.889451,64852717,0.324264,52160028,0.2608,117012745,0.585064,4501877000,22.5094,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
multadd64,0,8,1.04295,79506062,0.39753,55876208,0.279381,135382270,0.676911,4835143000,24.1757,1,fastrange32,books_200M_uint32.ds,199999999
multadd64,0,7,0.89048,65169376,0.325847,52497221,0.262486,117666597,0.588333,5239523000,26.1976,1,fastrange64,books_200M_uint32.ds,199999999
multadd64,0,8,0.927631,68198287,0.340991,52806053,0.26403,121004340,0.605022,7643083000,38.2154,1,modulo,books_200M_uint32.ds,199999999
multadd64,0,8,0.927631,68198287,0.340991,52806053,0.26403,121004340,0.605022,4888810000,24.4441,1,fast_modulo,books_200M_uint32.ds,199999999
multadd64,0,8,0.927631,68198287,0.340991,52806053,0.26403,121004340,0.605022,5297268000,26.4863,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.919047,67490645,0.337453,52708732,0.263544,120199377,0.600997,5341204000,26.706,1,fastrange32,books_200M_uint32.ds,199999999
mult64_shift60,0,34,3.96365,187499999,0.9375,12499999,0.0625,199999998,1,3566979000,17.8349,1,fastrange64,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.893926,65147577,0.325738,52092737,0.260464,117240314,0.586202,7834449000,39.1722,1,modulo,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.893926,65147577,0.325738,52092737,0.260464,117240314,0.586202,5005823000,25.0291,1,fast_modulo,books_200M_uint32.ds,199999999
mult64_shift60,0,7,0.893926,65147577,0.325738,52092737,0.260464,117240314,0.586202,4807049000,24.0352,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo64_shift60,0,12,1.55977,126095669,0.630478,56735859,0.283679,182831528,0.914158,5010219000,25.0511,1,fastrange32,books_200M_uint32.ds,199999999
fibo64_shift60,0,35,3.962,187499999,0.9375,12499997,0.0625,199999996,1,3722295000,18.6115,1,fastrange64,books_200M_uint32.ds,199999999
fibo64_shift60,0,7,0.893473,65188122,0.325941,52156139,0.260781,117344261,0.586721,7728684000,38.6434,1,modulo,books_200M_uint32.ds,199999999
fibo64_shift60,0,7,0.893473,65188122,0.325941,52156139,0.260781,117344261,0.586721,5321967000,26.6098,1,fast_modulo,books_200M_uint32.ds,199999999
fibo64_shift60,0,7,0.893473,65188122,0.325941,52156139,0.260781,117344261,0.586721,4648139000,23.2407,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64_shift60,0,12,1.55977,126095669,0.630478,56735859,0.283679,182831528,0.914158,5700367000,28.5018,1,fastrange32,books_200M_uint32.ds,199999999
fibo_prime64_shift60,0,35,3.962,187499999,0.9375,12499997,0.0625,199999996,1,4229503000,21.1475,1,fastrange64,books_200M_uint32.ds,199999999
fibo_prime64_shift60,0,7,0.893473,65188122,0.325941,52156139,0.260781,117344261,0.586721,7384521000,36.9226,1,modulo,books_200M_uint32.ds,199999999
fibo_prime64_shift60,0,7,0.893473,65188122,0.325941,52156139,0.260781,117344261,0.586721,5156514000,25.7826,1,fast_modulo,books_200M_uint32.ds,199999999
fibo_prime64_shift60,0,7,0.893473,65188122,0.325941,52156139,0.260781,117344261,0.586721,4876721000,24.3836,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
multadd64_shift60,0,7,0.854503,61695885,0.308479,51292071,0.25646,112987956,0.56494,5720264000,28.6013,1,fastrange32,books_200M_uint32.ds,199999999
multadd64_shift60,0,37,3.96798,187499999,0.9375,12499997,0.0625,199999996,1,3908078000,19.5404,1,fastrange64,books_200M_uint32.ds,199999999
multadd64_shift60,0,8,0.970318,72043790,0.360219,53544298,0.267721,125588088,0.62794,9059271000,45.2964,1,modulo,books_200M_uint32.ds,199999999
multadd64_shift60,0,8,0.970318,72043790,0.360219,53544298,0.267721,125588088,0.62794,6108660000,30.5433,1,fast_modulo,books_200M_uint32.ds,199999999
multadd64_shift60,0,8,0.970318,72043790,0.360219,53544298,0.267721,125588088,0.62794,5974381000,29.8719,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_low,0,13,1.00032,73598515,0.367993,52847187,0.264236,126445702,0.632229,9333563000,46.6678,1,fastrange32,books_200M_uint32.ds,199999999
murmur3_128_low,0,11,1.00002,73573507,0.367868,52843077,0.264215,126416584,0.632083,9870158000,49.3508,1,fastrange64,books_200M_uint32.ds,199999999
murmur3_128_low,0,12,1.00001,73575226,0.367876,52845157,0.264226,126420383,0.632102,12879379000,64.3969,1,modulo,books_200M_uint32.ds,199999999
murmur3_128_low,0,12,1.00001,73575226,0.367876,52845157,0.264226,126420383,0.632102,9389181000,46.9459,1,fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_low,0,12,1.00001,73575226,0.367876,52845157,0.264226,126420383,0.632102,9487454000,47.4373,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_upp,0,11,1.00032,73598254,0.367991,52847158,0.264236,126445412,0.632227,9197004000,45.985,1,fastrange32,books_200M_uint32.ds,199999999
murmur3_128_upp,0,11,1.00001,73575497,0.367877,52844537,0.264223,126420034,0.6321,9892816000,49.4641,1,fastrange64,books_200M_uint32.ds,199999999
murmur3_128_upp,0,11,1.00003,73576546,0.367883,52843565,0.264218,126420111,0.632101,12851288000,64.2564,1,modulo,books_200M_uint32.ds,199999999
murmur3_128_upp,0,11,1.00003,73576546,0.367883,52843565,0.264218,126420111,0.632101,9434684000,47.1734,1,fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_upp,0,11,1.00003,73576546,0.367883,52843565,0.264218,126420111,0.632101,9957921000,49.7896,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_xor,0,10,1.00029,73593110,0.367966,52843439,0.264217,126436549,0.632183,9367647000,46.8382,1,fastrange32,books_200M_uint32.ds,199999999
murmur3_128_xor,0,12,1.00006,73577992,0.36789,52847283,0.264236,126425275,0.632126,9908372000,49.5419,1,fastrange64,books_200M_uint32.ds,199999999
murmur3_128_xor,0,11,0.999933,73574138,0.367871,52852162,0.264261,126426300,0.632132,12948731000,64.7437,1,modulo,books_200M_uint32.ds,199999999
murmur3_128_xor,0,11,0.999933,73574138,0.367871,52852162,0.264261,126426300,0.632132,9498210000,47.4911,1,fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_xor,0,11,0.999933,73574138,0.367871,52852162,0.264261,126426300,0.632132,9575307000,47.8765,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
murmur3_128_city,0,11,1.00023,73594372,0.367972,52850536,0.264253,126444908,0.632225,9929139000,49.6457,1,fastrange32,books_200M_uint32.ds,199999999
murmur3_128_city,0,12,1.00006,73578282,0.367891,52846268,0.264231,126424550,0.632123,10153283000,50.7664,1,fastrange64,books_200M_uint32.ds,199999999
murmur3_128_city,0,11,1.00004,73577996,0.36789,52847770,0.264239,126425766,0.632129,14834204000,74.171,1,modulo,books_200M_uint32.ds,199999999
