dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,0.750000,uniform_random,do_nothing,0,7,0.944927,120626929,0.452351,44712704,0.167673,98672967,0.493365,20790990549,103.954953
books_200M_uint32,199999999,1.000000,uniform_random,do_nothing,0,7,0.925800,67982603,0.339913,52703630,0.263518,120686233,0.603431,22956545362,114.782727
books_200M_uint32,199999999,0.750000,mult64,fastrange32,0,7,1.030117,131824350,0.494341,51166782,0.191875,116324466,0.581622,8661506918,43.307535
books_200M_uint32,199999999,1.000000,mult64,fastrange32,0,8,0.946235,70639792,0.353199,54272897,0.271364,124912689,0.624563,8077966884,40.389835
books_200M_uint32,199999999,1.000000,mult64,fastrange64,0,7,1.043899,79446472,0.397232,55443050,0.277215,134889522,0.674448,9294697074,46.473486
books_200M_uint32,199999999,0.750000,mult64,fastrange64,0,5,1.019543,130568002,0.489630,50280336,0.188551,114181672,0.570908,9906617614,49.533088
books_200M_uint32,199999999,1.000000,mult64,branchless_fast_modulo,0,6,0.895072,65640913,0.328205,52635008,0.263175,118275921,0.591380,7708474241,38.542371
books_200M_uint32,199999999,0.750000,mult64,branchless_fast_modulo,0,5,0.857628,110796225,0.415486,39854493,0.149454,83984052,0.419920,8138605487,40.693028
books_200M_uint32,199999999,1.000000,fibo64,fastrange32,0,8,0.998071,75031665,0.375158,54440927,0.272205,129472592,0.647363,8704697375,43.523487
books_200M_uint32,199999999,0.750000,fibo64,fastrange32,0,7,0.975573,125284206,0.469816,47930335,0.179739,106547875,0.532739,9733046356,48.665232
books_200M_uint32,199999999,1.000000,fibo64,fastrange64,0,6,0.856709,61819992,0.309100,51211461,0.256057,113031453,0.565157,8337068731,41.685344
books_200M_uint32,199999999,0.750000,fibo64,fastrange64,0,5,0.864634,111685373,0.418820,40442684,0.151660,85461391,0.427307,9624777836,48.123889
books_200M_uint32,199999999,1.000000,fibo64,branchless_fast_modulo,0,7,0.889451,64852717,0.324264,52160028,0.260800,117012745,0.585064,7597081725,37.985409
books_200M_uint32,199999999,0.750000,fibo64,branchless_fast_modulo,0,5,0.857799,110823763,0.415589,39880001,0.149550,84037098,0.420185,8859999879,44.300000
books_200M_uint32,199999999,1.000000,fibo_prime64,fastrange32,0,9,1.092788,84810056,0.424050,57571143,0.287856,142381199,0.711906,7847462170,39.237311
books_200M_uint32,199999999,0.750000,fibo_prime64,fastrange32,0,8,1.137343,143979233,0.539922,55249832,0.207187,132562399,0.662812,9486994503,47.434973
books_200M_uint32,199999999,1.000000,fibo_prime64,fastrange64,0,7,0.862320,62223435,0.311117,51191872,0.255959,113415307,0.567077,8311585456,41.557927
books_200M_uint32,199999999,0.750000,fibo_prime64,fastrange64,0,5,0.856803,110693280,0.415100,39787874,0.149205,83814488,0.419072,9288431732,46.442159
books_200M_uint32,199999999,1.000000,fibo_prime64,branchless_fast_modulo,0,6,0.889596,65279829,0.326399,52733126,0.263666,118012955,0.590065,8118415807,40.592079
books_200M_uint32,199999999,1.000000,multadd64,fastrange32,0,8,1.042950,79506062,0.397530,55876208,0.279381,135382270,0.676911,8479831280,42.399157
books_200M_uint32,199999999,0.750000,fibo_prime64,branchless_fast_modulo,0,5,0.878217,113413181,0.425299,41591868,0.155970,88338383,0.441692,9167245924,45.836230
books_200M_uint32,199999999,1.000000,multadd64,fastrange64,0,7,0.890480,65169376,0.325847,52497221,0.262486,117666597,0.588333,8280172836,41.400864
books_200M_uint32,199999999,0.750000,multadd64,fastrange32,0,6,1.057001,134740455,0.505277,51972077,0.194895,120045866,0.600229,8833004582,44.165023
books_200M_uint32,199999999,1.000000,multadd64,branchless_fast_modulo,0,8,0.927631,68198287,0.340991,52806053,0.264030,121004340,0.605022,8349012346,41.745062
books_200M_uint32,199999999,0.750000,multadd64,fastrange64,0,7,0.995755,128033420,0.480125,49858876,0.186971,111225630,0.556128,8236127319,41.180637
books_200M_uint32,199999999,1.000000,mult64_shift60,fastrange32,0,7,0.919047,67490645,0.337453,52708732,0.263544,120199377,0.600997,7110075247,35.550376
books_200M_uint32,199999999,0.750000,multadd64,branchless_fast_modulo,0,6,0.899044,115453537,0.432951,42211193,0.158292,90998064,0.454990,9233766234,46.168831
books_200M_uint32,199999999,1.000000,mult64_shift60,fastrange64,0,34,3.963650,187499999,0.937500,12499999,0.062500,199999998,1.000000,3926266585,19.631333
books_200M_uint32,199999999,0.750000,mult64_shift60,fastrange32,0,6,0.898267,115395070,0.432732,42236666,0.158387,90965070,0.454825,8739833822,43.699169
books_200M_uint32,199999999,1.000000,mult64_shift60,branchless_fast_modulo,0,7,0.893926,65147577,0.325738,52092737,0.260464,117240314,0.586202,8373351295,41.866757
books_200M_uint32,199999999,0.750000,mult64_shift60,fastrange64,0,30,3.463530,250000014,0.937500,16666458,0.062499,199999806,0.999999,5327832067,26.639160
