dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
consecutive_200M_uint64,200000000,1.000000,random_hash,fastrange32,0,9,0.943119,69206144,0.346031,52641640,0.263208,121847784,0.609239,20950970813,104.754854
consecutive_200M_uint64,200000000,0.750000,random_hash,fastrange32,0,9,1.015745,128878472,0.483294,48596744,0.182238,110808550,0.554043,22119845201,110.599226
consecutive_200M_uint64,200000000,0.500000,random_hash,fastrange32,0,8,1.113107,259277143,0.648193,46750846,0.116877,106027989,0.530140,24246971586,121.234858
consecutive_200M_uint64,200000000,0.250000,random_hash,fastrange32,0,8,1.167007,650523501,0.813154,41225371,0.051532,91748872,0.458744,29117945747,145.589729
consecutive_200M_uint64,200000000,1.000000,random_hash,fastrange64,0,11,0.959238,70510654,0.352553,52770403,0.263852,123281057,0.616405,22374163504,111.870818
consecutive_200M_uint64,200000000,0.750000,random_hash,fastrange64,0,7,0.944644,120565230,0.452120,44649102,0.167434,98547666,0.492738,22794548222,113.972741
consecutive_200M_uint64,200000000,0.500000,random_hash,fastrange64,0,6,0.960616,237593007,0.593983,33239225,0.083098,70832232,0.354161,25227780143,126.138901
fb_200M_uint64,200000000,1.000000,random_hash,fastrange32,0,9,0.943119,69206144,0.346031,52641640,0.263208,121847784,0.609239,23932193035,119.660965
fb_200M_uint64,200000000,0.750000,random_hash,fastrange32,0,9,1.015745,128878472,0.483294,48596744,0.182238,110808550,0.554043,24044496757,120.222484
consecutive_200M_uint64,200000000,0.250000,random_hash,fastrange64,0,4,0.987219,621233090,0.776541,20033015,0.025041,41266105,0.206331,30537892083,152.689460
fb_200M_uint64,200000000,0.500000,random_hash,fastrange32,0,8,1.113107,259277143,0.648193,46750846,0.116877,106027989,0.530140,26555161914,132.775810
consecutive_200M_uint64,200000000,1.000000,random_hash,fast_modulo,0,9,0.947832,69596855,0.347984,52693010,0.263465,122289865,0.611449,31732490001,158.662450
fb_200M_uint64,200000000,0.250000,random_hash,fastrange32,0,8,1.167007,650523501,0.813154,41225371,0.051532,91748872,0.458744,32183174981,160.915875
consecutive_200M_uint64,200000000,1.000000,mult_prime64,fastrange32,0,2,0.731741,53544432,0.267722,53544432,0.267722,107088864,0.535444,4730004385,23.650022
consecutive_200M_uint64,200000000,0.750000,random_hash,fast_modulo,0,8,0.963091,122371684,0.458894,45194897,0.169481,100899915,0.504500,36201480556,181.007403
consecutive_200M_uint64,200000000,1.000000,mult_prime64,fastrange64,0,5,1.559067,128658977,0.643295,55693113,0.278466,184352090,0.921760,4877426285,24.387131
fb_200M_uint64,200000000,1.000000,random_hash,fastrange64,0,11,0.959238,70510654,0.352553,52770403,0.263852,123281057,0.616405,22602898166,113.014491
consecutive_200M_uint64,200000000,0.750000,mult_prime64,fastrange32,0,2,0.875851,118378151,0.443918,51711485,0.193918,103422970,0.517115,4871036218,24.355181
fb_200M_uint64,200000000,0.750000,random_hash,fastrange64,0,7,0.944644,120565230,0.452120,44649102,0.167434,98547666,0.492738,24919365126,124.596826
consecutive_200M_uint64,200000000,1.000000,mult_prime64,fast_modulo,0,3,1.077027,92883178,0.464416,69767655,0.348838,162650833,0.813254,5555764329,27.778822
consecutive_200M_uint64,200000000,0.750000,mult_prime64,fastrange64,0,4,1.482256,185208790,0.694533,60593994,0.227227,179136118,0.895681,4836284982,24.181425
consecutive_200M_uint64,200000000,0.500000,random_hash,fast_modulo,0,7,0.988167,241351582,0.603379,35629893,0.089075,76981475,0.384907,42030573705,210.152869
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci64,fastrange32,0,5,1.540677,128760370,0.643802,56263150,0.281316,185023520,0.925118,4916728615,24.583643
fb_200M_uint64,200000000,0.500000,random_hash,fastrange64,0,6,0.960616,237593007,0.593983,33239225,0.083098,70832232,0.354161,28383044548,141.915223
consecutive_200M_uint64,200000000,0.500000,mult_prime64,fastrange32,0,2,0.990180,248045600,0.620114,48045600,0.120114,96091200,0.480456,5518829469,27.594147
consecutive_200M_uint64,200000000,0.750000,mult_prime64,fast_modulo,0,3,1.128038,151478818,0.568046,67377375,0.252665,152189527,0.760948,7283256160,36.416281
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci64,fastrange64,0,2,0.529963,28086097,0.140430,28086097,0.140430,56172194,0.280861,4814828605,24.074143
consecutive_200M_uint64,200000000,0.500000,mult_prime64,fastrange64,0,3,1.327483,298308426,0.745771,70395751,0.175989,168704177,0.843521,5422332015,27.111660
consecutive_200M_uint64,200000000,0.750000,mult_fibonacci64,fastrange32,0,4,1.411669,182401072,0.684004,64296958,0.241114,180031364,0.900157,5115999379,25.579997
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci64,fast_modulo,0,2,0.736014,54171677,0.270858,54171677,0.270858,108343354,0.541717,5778730359,28.893652
fb_200M_uint64,200000000,0.250000,random_hash,fastrange64,0,4,0.987219,621233090,0.776541,20033015,0.025041,41266105,0.206331,33861660410,169.308302
consecutive_200M_uint64,200000000,0.750000,mult_fibonacci64,fastrange64,0,2,0.589133,76374468,0.286404,9707802,0.036404,19415604,0.097078,5530228365,27.651142
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci_prime64,fastrange32,0,2,0.943246,88971352,0.444857,88971352,0.444857,177942704,0.889714,5046293364,25.231467
consecutive_200M_uint64,200000000,0.500000,mult_prime64,fast_modulo,0,2,0.855076,223115523,0.557789,23115523,0.057789,46231046,0.231155,7585218235,37.926091
consecutive_200M_uint64,200000000,0.250000,random_hash,fast_modulo,0,5,0.981310,620248417,0.775311,19223457,0.024029,39471874,0.197359,49904889399,249.524447
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci_prime64,fastrange64,0,2,0.557373,31066445,0.155332,31066445,0.155332,62132890,0.310664,5264184653,26.320923
consecutive_200M_uint64,200000000,0.750000,mult_fibonacci64,fast_modulo,0,2,0.562318,73286859,0.274826,6620193,0.024826,13240386,0.066202,7562975046,37.814875
consecutive_200M_uint64,200000000,0.500000,mult_fibonacci64,fastrange32,0,3,1.220657,289682484,0.724206,80364558,0.200911,170047042,0.850235,5789158758,28.945794
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci_prime64,fast_modulo,0,2,0.555435,30850818,0.154254,30850818,0.154254,61701636,0.308508,6021101348,30.105507
fb_200M_uint64,200000000,1.000000,random_hash,fast_modulo,0,9,0.947832,69596855,0.347984,52693010,0.263465,122289865,0.611449,41635244775,208.176224
consecutive_200M_uint64,200000000,0.750000,mult_fibonacci_prime64,fastrange32,0,2,1.053213,152592335,0.572221,85925669,0.322221,171851338,0.859257,5512463992,27.562320
consecutive_200M_uint64,200000000,0.250000,mult_prime64,fastrange32,0,2,1.058527,637047934,0.796310,37047934,0.046310,74095868,0.370479,11465572830,57.327864
consecutive_200M_uint64,200000000,0.500000,mult_fibonacci64,fastrange64,0,1,0.707107,200000000,0.500000,0,0.000000,0,0.000000,6495001017,32.475005
consecutive_200M_uint64,200000000,1.000000,mult_add64,fastrange32,0,2,0.389297,15155228,0.075776,15155228,0.075776,30310456,0.151552,6015277662,30.076388
fb_200M_uint64,200000000,1.000000,mult_prime64,fastrange32,0,11,0.998872,73496390,0.367482,52851678,0.264258,126348068,0.631740,6337638455,31.688192
consecutive_200M_uint64,200000000,0.750000,mult_fibonacci_prime64,fastrange64,0,2,0.542540,71101603,0.266631,4434937,0.016631,8869874,0.044349,6189782210,30.948911
fb_200M_uint64,200000000,0.750000,random_hash,fast_modulo,0,8,0.963091,122371684,0.458894,45194897,0.169481,100899915,0.504500,48340067700,241.700339
consecutive_200M_uint64,200000000,1.000000,mult_add64,fastrange64,0,2,0.792734,62842739,0.314214,62842739,0.314214,125685478,0.628427,5671094532,28.355473
consecutive_200M_uint64,200000000,0.500000,mult_fibonacci64,fast_modulo,0,1,0.707107,200000000,0.500000,0,0.000000,0,0.000000,9280122611,46.400613
fb_200M_uint64,200000000,1.000000,mult_prime64,fastrange64,0,10,0.998685,73481180,0.367406,52852875,0.264264,126334055,0.631670,5923418333,29.617092
consecutive_200M_uint64,200000000,0.250000,mult_prime64,fastrange64,0,2,1.061166,637607327,0.797009,37607327,0.047009,75214654,0.376073,11482708191,57.413541
consecutive_200M_uint64,200000000,0.750000,mult_fibonacci_prime64,fast_modulo,0,2,0.643226,83040585,0.311402,16373919,0.061402,32747838,0.163739,9908575095,49.542875
fb_200M_uint64,200000000,0.750000,mult_prime64,fastrange32,0,10,0.998864,125859994,0.471975,46206543,0.173275,105399871,0.526999,6928420289,34.642101
consecutive_200M_uint64,200000000,1.000000,mult_add64,fast_modulo,0,2,0.789314,62301690,0.311508,62301690,0.311508,124603380,0.623017,7279125504,36.395628
consecutive_200M_uint64,200000000,0.500000,mult_fibonacci_prime64,fastrange32,0,2,1.139449,279834295,0.699586,79834295,0.199586,159668590,0.798343,8026500834,40.132504
fb_200M_uint64,200000000,0.500000,random_hash,fast_modulo,0,7,0.988167,241351582,0.603379,35629893,0.089075,76981475,0.384907,53710134161,268.550671
fb_200M_uint64,200000000,1.000000,mult_prime64,fast_modulo,0,11,0.998799,73486291,0.367431,52849795,0.264249,126336086,0.631680,8107795796,40.538979
consecutive_200M_uint64,200000000,1.000000,mult_prime_shift36_64,fastrange32,0,20,3.901605,187500000,0.937500,12500000,0.062500,200000000,1.000000,5236821500,26.184108
consecutive_200M_uint64,200000000,1.000000,mult_prime_shift36_64,fastrange64,0,200000000,14142.135553,199999999,1.000000,1,0.000000,200000000,1.000000,389582052,1.947910
consecutive_200M_uint64,200000000,0.750000,mult_add64,fastrange32,0,2,0.527698,69513198,0.260674,2846532,0.010674,5693064,0.028465,7390378155,36.951891
fb_200M_uint64,200000000,0.750000,mult_prime64,fastrange64,0,9,0.998705,125841228,0.471905,46196176,0.173236,105370738,0.526854,6903589753,34.517949
fb_200M_uint64,200000000,1.000000,mult_fibonacci64,fastrange32,0,10,0.998996,73506000,0.367530,52853654,0.264268,126359654,0.631798,6387675904,31.938380
consecutive_200M_uint64,200000000,0.250000,mult_prime64,fast_modulo,0,1,0.866025,600000000,0.750000,0,0.000000,0,0.000000,13560348019,67.801740
consecutive_200M_uint64,200000000,0.750000,mult_add64,fastrange64,0,2,0.887720,120471368,0.451768,53804702,0.201768,107609404,0.538047,6796244899,33.981224
consecutive_200M_uint64,200000000,0.500000,mult_fibonacci_prime64,fastrange64,0,1,0.707107,200000000,0.500000,0,0.000000,0,0.000000,9840752953,49.203765
fb_200M_uint64,200000000,0.500000,mult_prime64,fastrange32,0,8,0.999106,242509122,0.606273,36036919,0.090092,78546041,0.392730,9003900237,45.019501
consecutive_200M_uint64,200000000,1.000000,mult_prime_shift36_64,fast_modulo,0,4,1.431568,123325828,0.616629,61026268,0.305131,184352096,0.921760,8645070414,43.225352
fb_200M_uint64,200000000,1.000000,mult_fibonacci64,fastrange64,0,12,0.998906,73491284,0.367456,52842377,0.264212,126333661,0.631668,6363164710,31.815824
fb_200M_uint64,200000000,0.750000,mult_prime64,fast_modulo,0,10,0.998748,125847093,0.471927,46201040,0.173254,105381467,0.526907,10972608800,54.863044
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci_shift36_64,fastrange32,0,18,3.877039,187500000,0.937500,12500000,0.062500,200000000,1.000000,5072646754,25.363234
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci_shift36_64,fastrange64,0,200000000,14142.135553,199999999,1.000000,1,0.000000,200000000,1.000000,644301653,3.221508
consecutive_200M_uint64,200000000,0.750000,mult_add64,fast_modulo,0,2,1.003663,142400642,0.534002,75733976,0.284002,151467952,0.757340,9993100478,49.965502
fb_200M_uint64,200000000,0.250000,random_hash,fast_modulo,0,5,0.981310,620248417,0.775311,19223457,0.024029,39471874,0.197359,59997280863,299.986404
fb_200M_uint64,200000000,0.500000,mult_prime64,fastrange64,0,9,0.998709,242455165,0.606138,36001640,0.090004,78456805,0.392284,8689279605,43.446398
consecutive_200M_uint64,200000000,0.500000,mult_fibonacci_prime64,fast_modulo,0,2,0.780332,210891870,0.527230,10891870,0.027230,21783740,0.108919,10550279233,52.751396
fb_200M_uint64,200000000,0.750000,mult_fibonacci64,fastrange32,0,10,0.998840,125852956,0.471949,46197605,0.173241,105383895,0.526919,8041705306,40.208527
consecutive_200M_uint64,200000000,0.250000,mult_fibonacci64,fastrange32,0,2,0.930197,611526709,0.764408,11526709,0.014408,23053418,0.115267,14127572975,70.637865
fb_200M_uint64,200000000,1.000000,mult_fibonacci64,fast_modulo,0,11,0.998672,73478571,0.367393,52847477,0.264237,126326048,0.631630,9734106302,48.670532
consecutive_200M_uint64,200000000,0.750000,mult_prime_shift36_64,fastrange32,0,15,3.411075,249999999,0.937500,16666667,0.062500,200000000,1.000000,5664485698,28.322428
consecutive_200M_uint64,200000000,1.000000,mult_fibonacci_shift36_64,fast_modulo,0,2,0.642813,41320874,0.206604,41320874,0.206604,82641748,0.413209,8912149840,44.560749
consecutive_200M_uint64,200000000,0.750000,mult_prime_shift36_64,fastrange64,0,200000000,14142.135571,266666665,1.000000,1,0.000000,200000000,1.000000,414125091,2.070625
consecutive_200M_uint64,200000000,0.500000,mult_add64,fastrange32,0,2,0.721121,202001538,0.505004,2001538,0.005004,4003076,0.020015,9228408875,46.142044
