dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,1.000000,pgm_eps128,min_max_cutoff,0.001000,0,106479,32.760869,199800040,0.999000,199959,0.001000,199999999,1.000000,46639795,0.233199,11655490,0.058277,6337830,0.031689,14612923444,73.064618,14677556559,73.387783
books_200M_uint32,199999999,0.750000,pgm_eps128,min_max_cutoff,0.001000,0,106479,32.764685,266466706,0.999250,199959,0.000750,199999999,1.000000,23281540,0.116408,12514193,0.062571,4528875,0.022644,15234280912,76.171405,15274605520,76.373028
books_200M_uint32,199999999,1.000000,pgm_eps16,min_max_cutoff,0.001000,0,38766,35.186291,199801631,0.999008,198367,0.000992,199999998,1.000000,20091701,0.100459,11140926,0.055705,4609374,0.023047,18136329824,90.681650,18172171825,90.860860
books_200M_uint32,199999999,0.750000,pgm_eps16,min_max_cutoff,0.001000,0,38766,35.189843,266468297,0.999256,198367,0.000744,199999998,1.000000,22766935,0.113835,12462736,0.062314,6672411,0.033362,19369288676,96.846444,19411190758,97.055954
books_200M_uint32,199999999,1.000000,pgm_hash_eps128,min_max_cutoff,0.001000,0,27216,2.480300,101775548,0.508878,45557415,0.227787,147332963,0.736665,22554071,0.112770,12559957,0.062800,5220717,0.026104,11896654511,59.483273,11936989256,59.684947
books_200M_uint32,199999999,0.750000,pgm_hash_eps128,min_max_cutoff,0.001000,0,27216,2.490430,161081957,0.604057,43637709,0.163641,138053000,0.690265,24524085,0.122620,12999468,0.064997,4644436,0.023222,12890087100,64.450436,12932255089,64.661276
books_200M_uint32,199999999,1.000000,pgm_hash_eps16,min_max_cutoff,0.001000,0,6091,1.172912,74549900,0.372750,48556080,0.242780,123105980,0.615530,28713655,0.143568,15695404,0.078477,5201098,0.026005,19709647710,98.548239,19759257867,98.796290
books_200M_uint32,199999999,0.750000,pgm_hash_eps16,min_max_cutoff,0.001000,0,6091,1.109598,122669656,0.460011,41997867,0.157492,98000857,0.490004,25933597,0.129668,13235877,0.066179,5804269,0.029021,20378314668,101.891574,20423288411,102.116443
books_200M_uint32,199999999,1.000000,pgm_eps128,min_max_cutoff,0.010000,0,24891,10.761026,198000664,0.990003,1999312,0.009997,199999976,1.000000,271152034,1.355760,142224683,0.711123,36660519,0.183303,22774634211,113.873172,23224671447,116.123358
books_200M_uint32,199999999,0.750000,pgm_eps128,min_max_cutoff,0.010000,0,24891,10.772636,264667330,0.992502,1999312,0.007497,199999976,1.000000,266469885,1.332349,141935350,0.709677,36322428,0.181612,24275557849,121.377790,24720285512,123.601428
books_200M_uint32,199999999,1.000000,pgm_eps16,min_max_cutoff,0.010000,0,4204,11.308557,198016864,0.990084,1983108,0.009916,199999972,1.000000,285254370,1.426272,144748571,0.723743,46924162,0.234621,21996276969,109.981385,22473204072,112.366021
books_200M_uint32,199999999,0.750000,pgm_eps16,min_max_cutoff,0.010000,0,4204,11.319605,264683530,0.992563,1983108,0.007437,199999972,1.000000,283356333,1.416782,146543091,0.732715,47830928,0.239155,24491352551,122.456763,24969082903,124.845415
books_200M_uint32,199999999,1.000000,pgm_hash_eps128,min_max_cutoff,0.010000,0,2163,1.101532,74415763,0.372079,48304928,0.241525,122720691,0.613603,267349038,1.336745,141744205,0.708721,37049821,0.185249,20850584835,104.252925,21296727899,106.483640
books_200M_uint32,199999999,0.750000,pgm_hash_eps128,min_max_cutoff,0.010000,0,2162,1.034229,122559003,0.459596,41791698,0.156719,97684035,0.488420,261889437,1.309447,140182337,0.700912,36917207,0.184586,20406730344,102.033652,20845719325,104.228597
books_200M_uint32,199999999,1.000000,pgm_hash_eps16,min_max_cutoff,0.010000,0,689,1.091958,74529730,0.372649,48551765,0.242759,123081495,0.615407,294351615,1.471758,153677875,0.768389,50558651,0.252793,19727846726,98.639234,20226434867,101.132175
books_200M_uint32,199999999,0.750000,pgm_hash_eps16,min_max_cutoff,0.010000,0,689,1.023450,122641854,0.459907,41988392,0.157456,97963580,0.489818,282204227,1.411021,146265415,0.731327,49507632,0.247538,19804445745,99.022229,20282423019,101.412116
books_200M_uint32,199999999,1.000000,pgm_eps128,min_max_cutoff,0.100000,0,2722,3.974653,180256284,0.901281,18927139,0.094636,199183423,0.995917,2618180048,13.090900,1627934302,8.139672,371988158,1.859941,19283064227,96.415322,23901166735,119.505834
books_200M_uint32,199999999,0.750000,pgm_eps128,min_max_cutoff,0.100000,0,2722,4.005979,246922950,0.925961,18927139,0.070977,199183423,0.995917,2565938064,12.829690,1604869582,8.024348,369015000,1.845075,21096257433,105.481288,25636080079,128.180401
books_200M_uint32,199999999,1.000000,pgm_eps16,min_max_cutoff,0.100000,0,517,3.920968,180465837,0.902329,18740907,0.093705,199206744,0.996034,2631949409,13.159747,1624739725,8.123699,512580874,2.562904,25150825839,125.754130,29920095847,149.600480
books_200M_uint32,199999999,0.750000,pgm_eps16,min_max_cutoff,0.100000,0,517,3.952719,247132503,0.926747,18740907,0.070278,199206744,0.996034,2479068795,12.395344,1590863734,7.954319,500690057,2.503450,25218574038,126.092871,29789196624,148.945984
books_200M_uint32,199999999,1.000000,pgm_hash_eps128,min_max_cutoff,0.100000,0,2704,1.100610,73980141,0.369901,48434067,0.242170,122414208,0.612071,2483137681,12.415688,1585857577,7.929288,369760767,1.848804,16488894207,82.444471,20927650232,104.638252
books_200M_uint32,199999999,0.750000,pgm_hash_eps128,min_max_cutoff,0.100000,0,2704,1.034103,122057188,0.457714,41774258,0.156653,97164780,0.485824,2511940046,12.559700,1589834924,7.949175,367894098,1.839470,17662992759,88.314964,22132661827,110.663310
books_200M_uint32,199999999,1.000000,pgm_hash_eps16,min_max_cutoff,0.100000,0,90,1.091384,74639724,0.373199,48637110,0.243186,123276834,0.616384,2545871685,12.729358,1590784876,7.953924,501560856,2.507804,22059753383,110.298767,26697970800,133.489855
books_200M_uint32,199999999,0.750000,pgm_hash_eps16,min_max_cutoff,0.100000,0,90,1.022707,122738610,0.460270,42070167,0.157763,98142111,0.490711,2434456114,12.172281,1587069416,7.935347,497714380,2.488572,22843103094,114.215516,27362343004,136.811716
books_200M_uint32,199999999,1.000000,pgm_eps128,min_max_cutoff,1.000000,0,253,1.349871,74401973,0.372010,48213283,0.241066,122615256,0.613076,2759954510,13.799773,18957002512,94.785013,5240218613,26.201093,23454066174,117.270331,50411241809,252.056210
books_200M_uint32,199999999,0.750000,pgm_eps128,min_max_cutoff,1.000000,0,253,1.439497,141068638,0.529007,48213283,0.180800,122615255,0.613076,3832680628,19.163403,18886249538,94.431248,4082994255,20.414971,23290450512,116.452253,50092374933,250.461876
books_200M_uint32,199999999,1.000000,pgm_eps16,min_max_cutoff,1.000000,0,34,1.158311,73746110,0.368731,48025737,0.240129,121771847,0.608859,2589186924,12.945935,19410110698,97.050554,6288881306,31.444407,39438180205,197.190902,67726359133,338.631797
books_200M_uint32,199999999,0.750000,pgm_eps16,min_max_cutoff,1.000000,0,34,1.261620,140412775,0.526548,48025737,0.180097,121771846,0.608859,1538136532,7.690683,18971081632,94.855409,5533557676,27.667789,37081631631,185.408159,63124407471,315.622039
books_200M_uint32,199999999,1.000000,pgm_hash_eps128,min_max_cutoff,1.000000,0,75,1.084929,74101372,0.370507,48514552,0.242573,122615924,0.613080,2252324360,11.261622,20269769674,101.348849,4528448294,22.642242,23585810555,117.929053,50636352883,253.181766
books_200M_uint32,199999999,0.750000,pgm_hash_eps128,min_max_cutoff,1.000000,0,75,1.016993,122154323,0.458079,41848434,0.156932,97336091,0.486680,1602713913,8.013570,18813501362,94.067507,3937077950,19.685390,22913781687,114.568909,47267074912,236.335376
books_200M_uint32,199999999,1.000000,pgm_hash_eps16,min_max_cutoff,1.000000,0,33,1.056297,72532253,0.362661,48881843,0.244409,121414096,0.607070,1514564131,7.572821,21005765299,105.028827,6195747157,30.978736,38270907463,191.354538,66986984050,334.934922
