dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.250000,pgm_eps128_epsrec4,min_max_cutoff,0.001000,0,243339,45.371678,799800006,0.999750,199990,0.000250,199999999,1.000000,23346246,0.116731,11163929,0.055820,2646804,0.013234,15323588846,76.617945,15360745825,76.803730
books_200M_uint32,199999999,0.250000,pgm_eps128_epsrec4,min_max_cutoff,0.010000,0,25559,11.761991,798001586,0.997502,1998388,0.002498,199999977,1.000000,236381111,1.181906,150366877,0.751834,22026229,0.110131,23817708068,119.088541,24226482285,121.132412
books_200M_uint32,199999999,0.250000,pgm_eps128_epsrec4,min_max_cutoff,0.100000,0,2593,4.121151,780252871,0.975316,18929113,0.023661,199181987,0.995910,2201097787,11.005489,1714149719,8.570749,111502419,0.557512,24245901072,121.229506,28272650997,141.363256
books_200M_uint32,199999999,0.250000,pgm_eps128_epsrec4,min_max_cutoff,1.000000,0,253,1.603801,674402374,0.843003,48213235,0.060267,122615612,0.613078,634344524,3.171723,19988447771,99.942239,1240129084,6.200645,31581007746,157.905040,53443929125,267.219647
books_200M_uint32,199999999,0.250000,pgm_eps16_epsrec4,min_max_cutoff,0.001000,0,36866,35.562641,799801523,0.999752,198473,0.000248,199999999,1.000000,16369506,0.081848,9943965,0.049720,2848553,0.014243,19382730538,96.913653,19411892562,97.059463
books_200M_uint32,199999999,0.250000,pgm_eps16_epsrec4,min_max_cutoff,0.010000,0,4122,11.416954,798016654,0.997521,1983315,0.002479,199999972,1.000000,210047712,1.050239,134865367,0.674327,26037079,0.130185,24238460052,121.192301,24609410210,123.047052
books_200M_uint32,199999999,0.250000,pgm_eps16_epsrec4,min_max_cutoff,0.100000,0,451,4.011296,780468676,0.975586,18738607,0.023423,199207286,0.996036,1997838802,9.989194,1516159961,7.580800,185308703,0.926544,28120815287,140.604077,31820122753,159.100615
books_200M_uint32,199999999,0.250000,pgm_eps16_epsrec4,min_max_cutoff,1.000000,0,34,1.446264,673746088,0.842183,48025748,0.060032,121771839,0.608859,749925799,3.749629,21094054956,105.470275,1728242318,8.641212,43252387686,216.261940,66824610759,334.123055
books_200M_uint32,199999999,0.250000,pgm_eps8_epsrec4,min_max_cutoff,0.001000,0,21190,35.386470,799802957,0.999754,197039,0.000246,199999999,1.000000,18473903,0.092370,10111847,0.050559,3917228,0.019586,29080231516,145.401158,29112734494,145.563673
books_200M_uint32,199999999,0.250000,pgm_eps8_epsrec4,min_max_cutoff,0.010000,0,2568,11.564314,798030801,0.997539,1969135,0.002461,199999939,1.000000,193107927,0.965540,119787647,0.598938,22017342,0.110087,26028744363,130.143722,26363657279,131.818287
books_200M_uint32,199999999,0.250000,pgm_eps8_epsrec4,min_max_cutoff,0.100000,0,322,4.021148,780649985,0.975812,18588867,0.023236,199238855,0.996194,2071255497,10.356278,1416449090,7.082245,212822390,1.064112,31789384460,158.946923,35489911437,177.449558
books_200M_uint32,199999999,0.250000,pgm_eps8_epsrec4,min_max_cutoff,1.000000,0,18,1.380544,671071329,0.838839,48049727,0.060062,119121059,0.595605,917616468,4.588082,20389243698,101.946219,2500799338,12.503997,49795563106,248.977817,73603222610,368.016115
books_200M_uint32,199999999,0.250000,pgm_hash_eps128_epsrec4,min_max_cutoff,0.001000,0,15749,1.681768,653008293,0.816260,32862735,0.041078,85871031,0.429355,16043400,0.080217,25927756,0.129639,2620860,0.013104,17980496951,89.902485,18025088967,90.125445
books_200M_uint32,199999999,0.250000,pgm_hash_eps128_epsrec4,min_max_cutoff,0.010000,0,1391,0.946330,610900925,0.763626,9117412,0.011397,20018340,0.100092,206565298,1.032826,164172966,0.820865,20470675,0.102353,24086633212,120.433167,24477842151,122.389211
books_200M_uint32,199999999,0.250000,pgm_hash_eps128_epsrec4,min_max_cutoff,0.100000,0,294,0.922788,608190654,0.760238,7045119,0.008806,15235776,0.076179,1760975019,8.804875,1508589623,7.542948,128482862,0.642414,24419013579,122.095069,27817061083,139.085306
books_200M_uint32,199999999,0.250000,pgm_hash_eps128_epsrec4,min_max_cutoff,1.000000,0,75,0.923002,608247141,0.760309,7081921,0.008852,15329065,0.076645,677951205,3.389756,19974087624,99.870439,1257336265,6.286681,29762652656,148.813264,51672027750,258.360140
