dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
wiki_ts_200M_uint64,90437011,mult64,do_nothing,162093791,1.792339,5
wiki_ts_200M_uint64,90437011,mult64,fastrange32,72557722,0.802301,5
wiki_ts_200M_uint64,90437011,mult64,fastrange64,169075583,1.869540,5
wiki_ts_200M_uint64,90437011,mult64,modulo,808941220,8.944803,5
wiki_ts_200M_uint64,90437011,mult64,fast_modulo,144681297,1.599802,5
wiki_ts_200M_uint64,90437011,mult64,branchless_fast_modulo,128176955,1.417306,5
wiki_ts_200M_uint64,90437011,fibo64,do_nothing,164416828,1.818026,5
wiki_ts_200M_uint64,90437011,fibo64,fastrange32,70133802,0.775499,5
wiki_ts_200M_uint64,90437011,fibo64,fastrange64,178310506,1.971654,5
wiki_ts_200M_uint64,90437011,fibo64,modulo,809351015,8.949334,5
wiki_ts_200M_uint64,90437011,fibo64,fast_modulo,187039217,2.068171,5
wiki_ts_200M_uint64,90437011,fibo64,branchless_fast_modulo,141320405,1.562639,5
wiki_ts_200M_uint64,90437011,fibo_prime64,do_nothing,163463351,1.807483,5
wiki_ts_200M_uint64,90437011,fibo_prime64,fastrange32,71862954,0.794619,5
wiki_ts_200M_uint64,90437011,fibo_prime64,fastrange64,178692544,1.975878,5
wiki_ts_200M_uint64,90437011,fibo_prime64,modulo,808385705,8.938660,5
wiki_ts_200M_uint64,90437011,fibo_prime64,fast_modulo,142524393,1.575952,5
wiki_ts_200M_uint64,90437011,fibo_prime64,branchless_fast_modulo,128053868,1.415945,5
wiki_ts_200M_uint64,90437011,multadd64,do_nothing,208215898,2.302331,5
wiki_ts_200M_uint64,90437011,multadd64,fastrange32,104268080,1.152936,5
wiki_ts_200M_uint64,90437011,multadd64,fastrange64,228159214,2.522852,5
wiki_ts_200M_uint64,90437011,multadd64,modulo,910004249,10.062299,5
wiki_ts_200M_uint64,90437011,multadd64,fast_modulo,190558293,2.107083,5
wiki_ts_200M_uint64,90437011,multadd64,branchless_fast_modulo,173370664,1.917032,5
wiki_ts_200M_uint64,90437011,mult64_shift59,do_nothing,163829031,1.811526,5
wiki_ts_200M_uint64,90437011,mult64_shift59,fastrange32,91036817,1.006632,5
wiki_ts_200M_uint64,90437011,mult64_shift59,fastrange64,179096000,1.980340,5
wiki_ts_200M_uint64,90437011,mult64_shift59,modulo,774956939,8.569024,5
wiki_ts_200M_uint64,90437011,mult64_shift59,fast_modulo,174005663,1.924054,5
wiki_ts_200M_uint64,90437011,mult64_shift59,branchless_fast_modulo,147125385,1.626827,5
wiki_ts_200M_uint64,90437011,fibo64_shift59,do_nothing,169181643,1.870712,5
wiki_ts_200M_uint64,90437011,fibo64_shift59,fastrange32,89775296,0.992683,5
