dataset,numelements,load_factor,bucket_size,hashtable,hash,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,num_runs,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_biased_kicking_10,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,73542634047,367.713170,40058837227,200.294186,40055742119,200.278711,0.000000,5,0.999496,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,73033373777,365.166869,41899130058,209.495650,41896051779,209.480259,0.000000,5,0.967399,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,72505170473,362.525852,42146926373,210.734632,42145375164,210.726876,0.000000,5,0.964779,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,15914098782,175.968872,20689409961,228.771492,20689507457,228.772570,0.000000,5,0.692488,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,15900498876,175.818492,20697863670,228.864968,20697477012,228.860693,0.000000,5,0.694465,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,36518513360,182.592567,45960284289,229.801421,45958958851,229.794794,0.000000,5,0.650519,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,35615830518,178.079153,46007266208,230.036331,46011769566,230.058848,0.000000,5,0.711611,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,36428459295,182.142296,46117572676,230.587863,46116403282,230.582016,0.000000,5,0.650418,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,35716087436,178.580437,46151144027,230.755720,46190955480,230.954777,0.000000,5,0.713542,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,43882363034,219.411815,46313844994,231.569225,46287632679,231.438163,0.000000,5,0.614194,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,35920222475,179.601112,46338462803,231.692314,46339858134,231.699291,0.000000,5,0.706725,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,17056186388,188.597414,20978241378,231.965222,20976819896,231.949505,0.000000,5,0.650255,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,17565930406,194.233867,20979908127,231.983652,20980127290,231.986076,0.000000,5,0.658317,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,17414019233,192.554122,21034674014,232.589222,21027469976,232.509564,0.000000,5,0.665912,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,35956567522,179.782838,46563084711,232.815424,46563339125,232.816696,0.000000,5,0.706669,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39315279950,196.576400,46710894218,233.554471,46708607726,233.543039,0.000000,5,0.687780,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,36625465448,183.127327,46731161867,233.655809,46731357881,233.656789,0.000000,5,0.713862,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,36576959143,182.884796,46743795564,233.718978,46738051542,233.690258,0.000000,5,0.711634,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38196921669,190.984608,46913175142,234.565876,46918344316,234.591722,0.000000,5,0.650318,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39498695353,197.493477,47043246728,235.216234,46986832880,234.934164,0.000000,5,0.686877,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38231139395,191.155697,47373836281,236.869181,47382863799,236.914319,0.000000,5,0.650366,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,17132805568,189.444624,21445582908,237.132814,21442366499,237.097249,0.000000,5,0.650321,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_biased_kicking_10,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44943594886,224.717974,47464235531,237.321178,47464094461,237.320472,0.000000,5,0.835353,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_biased_kicking_10,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,48061916640,240.309583,47483366667,237.416833,47491907930,237.459540,0.000000,5,0.835324,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,40487114453,202.435572,47623080970,238.115405,47623348588,238.116743,0.000000,5,0.687570,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38876130112,194.380651,47770584198,238.852921,47698841597,238.494208,0.000000,5,0.650355,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38710617431,193.553087,47714328088,238.571640,47710426155,238.552131,0.000000,5,0.650361,,,,,,,,
osm_cellids_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44713962177,223.569811,47808619186,239.043096,47804783073,239.023915,0.000000,5,0.614025,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39709654917,198.548275,47820174324,239.100872,47822520167,239.112601,0.000000,5,0.650340,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38691188768,193.455944,47863022242,239.315111,47858460993,239.292305,0.000000,5,0.650306,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,40296708752,201.483544,47951967662,239.759838,47950343581,239.751718,0.000000,5,0.688912,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44163098140,220.815491,48060624450,240.303122,48048274879,240.241374,0.000000,5,0.614236,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,19606733262,216.799881,21729725701,240.274700,21726788521,240.242223,0.000000,5,0.613952,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38740423740,193.702119,48126676471,240.633382,48113961803,240.569809,0.000000,5,0.650373,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,60632300392,303.161502,48127173009,240.635865,48127311073,240.636555,0.000000,5,0.811189,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,20190114727,223.250575,22223563839,245.735276,21830360565,241.387462,0.000000,5,0.614011,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38968516788,194.842584,48298802153,241.494011,48307136576,241.535683,0.000000,5,0.650289,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,45737504003,228.687520,48357986227,241.789931,48360948409,241.804742,0.000000,5,0.613982,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,61046337827,305.231689,48381303114,241.906516,48385285130,241.926426,0.000000,5,0.811135,,,,,,,,
