dataset,numelements,load_factor,sample_size,bucket_size,model,reducer,sample_size,insert_nanoseconds_total,insert_nanoseconds_per_key,lookup_nanoseconds_total,lookup_nanoseconds_per_key
books_200M_uint32,199999999,1.000000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,23074890052,115.374451,43996632089,219.983162
books_200M_uint32,199999999,1.000000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,37362528455,186.812643,49836837099,249.184187
books_200M_uint32,199999999,0.750000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,22450814279,112.254072,44123274643,220.616374
books_200M_uint32,199999999,0.750000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,36136785281,180.683927,49654144367,248.270723
books_200M_uint32,199999999,0.500000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,21513992820,107.569965,44008078819,220.040395
books_200M_uint32,199999999,0.500000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,34599575361,172.997878,49702415409,248.512078
books_200M_uint64,200000000,1.000000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,30970645323,154.853227,49413202484,247.066012
books_200M_uint64,200000000,1.000000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,44480373156,222.401866,54861692271,274.308461
books_200M_uint64,200000000,0.750000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,29371459294,146.857296,48793821213,243.969106
books_200M_uint64,200000000,0.750000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,42622625557,213.113128,53643476769,268.217384
books_200M_uint64,200000000,0.500000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,27772717372,138.863587,48056931809,240.284659
books_200M_uint64,200000000,0.500000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,40655544952,203.277725,52680665253,263.403326
fb_200M_uint64,200000000,1.000000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,67419269233,337.096346,77552846507,387.764233
fb_200M_uint64,200000000,1.000000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,80929920003,404.649600,88991511372,444.957557
fb_200M_uint64,200000000,0.750000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,58229012257,291.145061,69531225933,347.656130
fb_200M_uint64,200000000,0.750000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,73119943454,365.599717,81408306874,407.041534
fb_200M_uint64,200000000,0.500000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,49239315468,246.196577,62498286561,312.491433
fb_200M_uint64,200000000,0.500000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,64354488095,321.772440,73274838345,366.374192
osm_cellids_200M_uint64,200000000,1.000000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,99749389348,498.746947,107191373187,535.956866
osm_cellids_200M_uint64,200000000,1.000000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,73346893596,366.734468,82258960168,411.294801
osm_cellids_200M_uint64,200000000,0.750000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,87668575763,438.342879,95510536329,477.552682
osm_cellids_200M_uint64,200000000,0.750000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,67468111598,337.340558,77026341436,385.131707
osm_cellids_200M_uint64,200000000,0.500000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,74529360077,372.646800,83742602523,418.713013
osm_cellids_200M_uint64,200000000,0.500000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,60787386400,303.936932,71435433495,357.177167
wiki_ts_200M_uint64,90437011,1.000000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,8523857007,94.251866,18533439330,204.932020
wiki_ts_200M_uint64,90437011,1.000000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,9641629949,106.611550,20012297158,221.284372
wiki_ts_200M_uint64,90437011,0.750000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,8375926960,92.616141,18895057057,208.930579
wiki_ts_200M_uint64,90437011,0.750000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,9643920234,106.636875,20591599760,227.689964
wiki_ts_200M_uint64,90437011,0.500000,0.010000,4,pgm_hash_eps64,min_max_cutoff,0.010000,8648544505,95.630588,19351523816,213.977923
wiki_ts_200M_uint64,90437011,0.500000,0.010000,4,pgm_hash_eps8,min_max_cutoff,0.010000,10019835672,110.793530,20822277969,230.240670
