hash,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset
mult64,326852000,1.63426,1,do_nothing,books_200M_uint32.ds
mult64,160732000,0.80366,1,fastrange32,books_200M_uint32.ds
mult64,347613000,1.73807,1,fastrange64,books_200M_uint32.ds
mult64,1621395000,8.10698,1,modulo,books_200M_uint32.ds
mult64,288723000,1.44362,1,fast_modulo,books_200M_uint32.ds
mult64,290751000,1.45376,1,branchless_fast_modulo,books_200M_uint32.ds
fibo64,347285000,1.73643,1,do_nothing,books_200M_uint32.ds
fibo64,184142000,0.92071,1,fastrange32,books_200M_uint32.ds
fibo64,346462000,1.73231,1,fastrange64,books_200M_uint32.ds
fibo64,1621117000,8.10559,1,modulo,books_200M_uint32.ds
fibo64,293483000,1.46742,1,fast_modulo,books_200M_uint32.ds
fibo64,293242000,1.46621,1,branchless_fast_modulo,books_200M_uint32.ds
fibo_prime64,350392000,1.75196,1,do_nothing,books_200M_uint32.ds
fibo_prime64,188958000,0.94479,1,fastrange32,books_200M_uint32.ds
fibo_prime64,346827000,1.73414,1,fastrange64,books_200M_uint32.ds
fibo_prime64,1622303000,8.11152,1,modulo,books_200M_uint32.ds
fibo_prime64,269318000,1.34659,1,fast_modulo,books_200M_uint32.ds
fibo_prime64,279186000,1.39593,1,branchless_fast_modulo,books_200M_uint32.ds
multadd64,564136000,2.82068,1,do_nothing,books_200M_uint32.ds
multadd64,348902000,1.74451,1,fastrange32,books_200M_uint32.ds
multadd64,567696000,2.83848,1,fastrange64,books_200M_uint32.ds
multadd64,1841641000,9.20821,1,modulo,books_200M_uint32.ds
multadd64,380170000,1.90085,1,fast_modulo,books_200M_uint32.ds
multadd64,395305000,1.97653,1,branchless_fast_modulo,books_200M_uint32.ds
mult64_shift60,404798000,2.02399,1,do_nothing,books_200M_uint32.ds
mult64_shift60,216481000,1.08241,1,fastrange32,books_200M_uint32.ds
mult64_shift60,399938000,1.99969,1,fastrange64,books_200M_uint32.ds
mult64_shift60,1663360000,8.3168,1,modulo,books_200M_uint32.ds
mult64_shift60,421559000,2.1078,1,fast_modulo,books_200M_uint32.ds
mult64_shift60,329099000,1.6455,1,branchless_fast_modulo,books_200M_uint32.ds
fibo64_shift60,403550000,2.01775,1,do_nothing,books_200M_uint32.ds
fibo64_shift60,216055000,1.08028,1,fastrange32,books_200M_uint32.ds
fibo64_shift60,401783000,2.00892,1,fastrange64,books_200M_uint32.ds
fibo64_shift60,1665839000,8.3292,1,modulo,books_200M_uint32.ds
fibo64_shift60,436254000,2.18127,1,fast_modulo,books_200M_uint32.ds
fibo64_shift60,406461000,2.03231,1,branchless_fast_modulo,books_200M_uint32.ds
fibo_prime64_shift60,403351000,2.01676,1,do_nothing,books_200M_uint32.ds
fibo_prime64_shift60,218030000,1.09015,1,fastrange32,books_200M_uint32.ds
fibo_prime64_shift60,401009000,2.00505,1,fastrange64,books_200M_uint32.ds
fibo_prime64_shift60,1693509000,8.46755,1,modulo,books_200M_uint32.ds
fibo_prime64_shift60,324274000,1.62137,1,fast_modulo,books_200M_uint32.ds
fibo_prime64_shift60,337119000,1.6856,1,branchless_fast_modulo,books_200M_uint32.ds
multadd64_shift60,728020000,3.6401,1,do_nothing,books_200M_uint32.ds
multadd64_shift60,414932000,2.07466,1,fastrange32,books_200M_uint32.ds
multadd64_shift60,727546000,3.63773,1,fastrange64,books_200M_uint32.ds
multadd64_shift60,2171691000,10.8585,1,modulo,books_200M_uint32.ds
multadd64_shift60,527269000,2.63635,1,fast_modulo,books_200M_uint32.ds
multadd64_shift60,557643000,2.78822,1,branchless_fast_modulo,books_200M_uint32.ds
murmur3_128_low,1183079000,5.9154,1,do_nothing,books_200M_uint32.ds
murmur3_128_low,1079075000,5.39538,1,fastrange32,books_200M_uint32.ds
murmur3_128_low,1231584000,6.15792,1,fastrange64,books_200M_uint32.ds
murmur3_128_low,2449288000,12.2464,1,modulo,books_200M_uint32.ds
murmur3_128_low,1485994000,7.42997,1,fast_modulo,books_200M_uint32.ds
murmur3_128_low,1548298000,7.74149,1,branchless_fast_modulo,books_200M_uint32.ds
murmur3_128_upp,1127925000,5.63963,1,do_nothing,books_200M_uint32.ds
murmur3_128_upp,1076661000,5.38331,1,fastrange32,books_200M_uint32.ds
murmur3_128_upp,1237985000,6.18993,1,fastrange64,books_200M_uint32.ds
