dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint32,199999999,mult64,do_nothing,408560200,2.042801,5
books_200M_uint32,199999999,mult64,fastrange32,183630800,0.918154,5
books_200M_uint32,199999999,mult64,fastrange64,403940200,2.019701,5
books_200M_uint32,199999999,mult64,modulo,1572423000,7.862115,5
books_200M_uint32,199999999,mult64,fast_modulo,293141000,1.465705,5
books_200M_uint32,199999999,mult64,branchless_fast_modulo,300020600,1.500103,5
books_200M_uint32,199999999,fibo64,do_nothing,347192000,1.735960,5
books_200M_uint32,199999999,fibo64,fastrange32,179620400,0.898102,5
books_200M_uint32,199999999,fibo64,fastrange64,352128800,1.760644,5
books_200M_uint32,199999999,fibo64,modulo,1569818400,7.849092,5
books_200M_uint32,199999999,fibo64,fast_modulo,295106200,1.475531,5
books_200M_uint32,199999999,fibo64,branchless_fast_modulo,296458400,1.482292,5
books_200M_uint32,199999999,fibo_prime64,do_nothing,351605800,1.758029,5
books_200M_uint32,199999999,fibo_prime64,fastrange32,181392600,0.906963,5
books_200M_uint32,199999999,fibo_prime64,fastrange64,349164200,1.745821,5
books_200M_uint32,199999999,fibo_prime64,modulo,1569143200,7.845716,5
books_200M_uint32,199999999,fibo_prime64,fast_modulo,347996800,1.739984,5
books_200M_uint32,199999999,fibo_prime64,branchless_fast_modulo,301102200,1.505511,5
books_200M_uint32,199999999,multadd64,do_nothing,510814200,2.554071,5
books_200M_uint32,199999999,multadd64,fastrange32,268729400,1.343647,5
books_200M_uint32,199999999,multadd64,fastrange64,511988800,2.559944,5
books_200M_uint32,199999999,multadd64,modulo,1709804000,8.549020,5
books_200M_uint32,199999999,multadd64,fast_modulo,415735000,2.078675,5
books_200M_uint32,199999999,multadd64,branchless_fast_modulo,422992600,2.114963,5
books_200M_uint32,199999999,mult64_shift60,do_nothing,351684200,1.758421,5
books_200M_uint32,199999999,mult64_shift60,fastrange32,217539600,1.087698,5
books_200M_uint32,199999999,mult64_shift60,fastrange64,358105600,1.790528,5
books_200M_uint32,199999999,mult64_shift60,modulo,1576329000,7.881645,5
books_200M_uint32,199999999,mult64_shift60,fast_modulo,317151200,1.585756,5
books_200M_uint32,199999999,mult64_shift60,branchless_fast_modulo,333653800,1.668269,5
books_200M_uint32,199999999,fibo64_shift60,do_nothing,407336200,2.036681,5
books_200M_uint32,199999999,fibo64_shift60,fastrange32,216986600,1.084933,5
books_200M_uint32,199999999,fibo64_shift60,fastrange64,407397400,2.036987,5
books_200M_uint32,199999999,fibo64_shift60,modulo,1630985800,8.154929,5
books_200M_uint32,199999999,fibo64_shift60,fast_modulo,316594400,1.582972,5
books_200M_uint32,199999999,fibo64_shift60,branchless_fast_modulo,337500600,1.687503,5
books_200M_uint32,199999999,fibo_prime64_shift60,do_nothing,349926200,1.749631,5
books_200M_uint32,199999999,fibo_prime64_shift60,fastrange32,218729000,1.093645,5
books_200M_uint32,199999999,fibo_prime64_shift60,fastrange64,353944400,1.769722,5
books_200M_uint32,199999999,fibo_prime64_shift60,modulo,1578015600,7.890078,5
books_200M_uint32,199999999,fibo_prime64_shift60,fast_modulo,315247800,1.576239,5
books_200M_uint32,199999999,fibo_prime64_shift60,branchless_fast_modulo,335730400,1.678652,5
books_200M_uint32,199999999,multadd64_shift60,do_nothing,624500600,3.122503,5
books_200M_uint32,199999999,multadd64_shift60,fastrange32,441905800,2.209529,5
books_200M_uint32,199999999,multadd64_shift60,fastrange64,624592200,3.122961,5
books_200M_uint32,199999999,multadd64_shift60,modulo,2050667000,10.253335,5
books_200M_uint32,199999999,multadd64_shift60,fast_modulo,522401600,2.612008,5
books_200M_uint32,199999999,multadd64_shift60,branchless_fast_modulo,572455200,2.862276,5
books_200M_uint32,199999999,mult64_rotate4,do_nothing,351937200,1.759686,5
books_200M_uint32,199999999,mult64_rotate4,fastrange32,238927000,1.194635,5
books_200M_uint32,199999999,mult64_rotate4,fastrange64,366331200,1.831656,5
books_200M_uint32,199999999,mult64_rotate4,modulo,1586039200,7.930196,5
books_200M_uint32,199999999,mult64_rotate4,fast_modulo,462648000,2.313240,5
books_200M_uint32,199999999,mult64_rotate4,branchless_fast_modulo,375910400,1.879552,5
books_200M_uint32,199999999,fibo64_rotate4,do_nothing,400858600,2.004293,5
books_200M_uint32,199999999,fibo64_rotate4,fastrange32,292731000,1.463655,5
books_200M_uint32,199999999,fibo64_rotate4,fastrange64,409678200,2.048391,5
books_200M_uint32,199999999,fibo64_rotate4,modulo,1576844400,7.884222,5
books_200M_uint32,199999999,fibo64_rotate4,fast_modulo,357617200,1.788086,5
books_200M_uint32,199999999,fibo64_rotate4,branchless_fast_modulo,356603600,1.783018,5
books_200M_uint32,199999999,fibo_prime64_rotate4,do_nothing,408227800,2.041139,5
books_200M_uint32,199999999,fibo_prime64_rotate4,fastrange32,291858000,1.459290,5
books_200M_uint32,199999999,fibo_prime64_rotate4,fastrange64,409760400,2.048802,5
books_200M_uint32,199999999,fibo_prime64_rotate4,modulo,1579255200,7.896276,5
books_200M_uint32,199999999,fibo_prime64_rotate4,fast_modulo,354787600,1.773938,5
books_200M_uint32,199999999,fibo_prime64_rotate4,branchless_fast_modulo,357851200,1.789256,5
books_200M_uint32,199999999,multadd64_rotate4,do_nothing,458489600,2.292448,5
books_200M_uint32,199999999,multadd64_rotate4,fastrange32,361945600,1.809728,5
books_200M_uint32,199999999,multadd64_rotate4,fastrange64,510073400,2.550367,5
books_200M_uint32,199999999,multadd64_rotate4,modulo,1899983400,9.499917,5
books_200M_uint32,199999999,multadd64_rotate4,fast_modulo,570010600,2.850053,5
books_200M_uint32,199999999,multadd64_rotate4,branchless_fast_modulo,471174600,2.355873,5
books_200M_uint32,199999999,murmur3_128_low,do_nothing,1424655000,7.123275,5
books_200M_uint32,199999999,murmur3_128_low,fastrange32,1064997400,5.324987,5
books_200M_uint32,199999999,murmur3_128_low,fastrange64,1505296600,7.526483,5
books_200M_uint32,199999999,murmur3_128_low,modulo,2822359200,14.111796,5
books_200M_uint32,199999999,murmur3_128_low,fast_modulo,1204139400,6.020697,5
books_200M_uint32,199999999,murmur3_128_low,branchless_fast_modulo,1314023200,6.570116,5
books_200M_uint32,199999999,murmur3_128_upp,do_nothing,1441190600,7.205953,5
books_200M_uint32,199999999,murmur3_128_upp,fastrange32,1095386600,5.476933,5
books_200M_uint32,199999999,murmur3_128_upp,fastrange64,1476565600,7.382828,5
books_200M_uint32,199999999,murmur3_128_upp,modulo,2789749400,13.948747,5
books_200M_uint32,199999999,murmur3_128_upp,fast_modulo,1231670000,6.158350,5
books_200M_uint32,199999999,murmur3_128_upp,branchless_fast_modulo,1295494000,6.477470,5
books_200M_uint32,199999999,murmur3_128_xor,do_nothing,1517222800,7.586114,5
books_200M_uint32,199999999,murmur3_128_xor,fastrange32,1137814600,5.689073,5
books_200M_uint32,199999999,murmur3_128_xor,fastrange64,1604224800,8.021124,5
books_200M_uint32,199999999,murmur3_128_xor,modulo,2834762800,14.173814,5
books_200M_uint32,199999999,murmur3_128_xor,fast_modulo,1325872800,6.629364,5
books_200M_uint32,199999999,murmur3_128_xor,branchless_fast_modulo,1353529000,6.767645,5
books_200M_uint32,199999999,murmur3_128_city,do_nothing,1760169400,8.800847,5
books_200M_uint32,199999999,murmur3_128_city,fastrange32,1419494000,7.097470,5
books_200M_uint32,199999999,murmur3_128_city,fastrange64,1843899800,9.219499,5
books_200M_uint32,199999999,murmur3_128_city,modulo,3117228000,15.586140,5
books_200M_uint32,199999999,murmur3_128_city,fast_modulo,1548175600,7.740878,5
books_200M_uint32,199999999,murmur3_128_city,branchless_fast_modulo,1658955000,8.294775,5
books_200M_uint32,199999999,murmur3_fin64,do_nothing,407894200,2.039471,5
books_200M_uint32,199999999,murmur3_fin64,fastrange32,349876800,1.749384,5
books_200M_uint32,199999999,murmur3_fin64,fastrange64,434110200,2.170551,5
books_200M_uint32,199999999,murmur3_fin64,modulo,1739061000,8.695305,5
books_200M_uint32,199999999,murmur3_fin64,fast_modulo,511300800,2.556504,5
books_200M_uint32,199999999,murmur3_fin64,branchless_fast_modulo,474217200,2.371086,5
books_200M_uint32,199999999,xxh64,do_nothing,796509600,3.982548,5
books_200M_uint32,199999999,xxh64,fastrange32,679749800,3.398749,5
books_200M_uint32,199999999,xxh64,fastrange64,804113000,4.020565,5
books_200M_uint32,199999999,xxh64,modulo,2030399000,10.151995,5
books_200M_uint32,199999999,xxh64,fast_modulo,802691200,4.013456,5
books_200M_uint32,199999999,xxh64,branchless_fast_modulo,874181400,4.370907,5
books_200M_uint32,199999999,xxh3,do_nothing,591390800,2.956954,5
books_200M_uint32,199999999,xxh3,fastrange32,418577800,2.092889,5
books_200M_uint32,199999999,xxh3,fastrange64,683303400,3.416517,5
books_200M_uint32,199999999,xxh3,modulo,1876078200,9.380391,5
books_200M_uint32,199999999,xxh3,fast_modulo,566051400,2.830257,5
books_200M_uint32,199999999,xxh3,branchless_fast_modulo,623067800,3.115339,5
books_200M_uint32,199999999,xxh3_128_low,do_nothing,633100800,3.165504,5
books_200M_uint32,199999999,xxh3_128_low,fastrange32,382579000,1.912895,5
books_200M_uint32,199999999,xxh3_128_low,fastrange64,566502400,2.832512,5
books_200M_uint32,199999999,xxh3_128_low,modulo,1954207200,9.771036,5
books_200M_uint32,199999999,xxh3_128_low,fast_modulo,631603400,3.158017,5
books_200M_uint32,199999999,xxh3_128_low,branchless_fast_modulo,560459000,2.802295,5
books_200M_uint32,199999999,xxh3_128_upp,do_nothing,510938600,2.554693,5
books_200M_uint32,199999999,xxh3_128_upp,fastrange32,385348000,1.926740,5
books_200M_uint32,199999999,xxh3_128_upp,fastrange64,514015000,2.570075,5
books_200M_uint32,199999999,xxh3_128_upp,modulo,1870461800,9.352309,5
books_200M_uint32,199999999,xxh3_128_upp,fast_modulo,579915600,2.899578,5
books_200M_uint32,199999999,xxh3_128_upp,branchless_fast_modulo,530696800,2.653484,5
books_200M_uint32,199999999,xxh3_128_xor,do_nothing,622455800,3.112279,5
books_200M_uint32,199999999,xxh3_128_xor,fastrange32,511485400,2.557427,5
books_200M_uint32,199999999,xxh3_128_xor,fastrange64,632651400,3.163257,5
books_200M_uint32,199999999,xxh3_128_xor,modulo,2041665200,10.208326,5
books_200M_uint32,199999999,xxh3_128_xor,fast_modulo,771345400,3.856727,5
books_200M_uint32,199999999,xxh3_128_xor,branchless_fast_modulo,683450600,3.417253,5
books_200M_uint32,199999999,xxh3_128_city,do_nothing,794411600,3.972058,5
books_200M_uint32,199999999,xxh3_128_city,fastrange32,738608200,3.693041,5
books_200M_uint32,199999999,xxh3_128_city,fastrange64,847792400,4.238962,5
books_200M_uint32,199999999,xxh3_128_city,modulo,2222536000,11.112680,5
books_200M_uint32,199999999,xxh3_128_city,fast_modulo,933643800,4.668219,5
books_200M_uint32,199999999,xxh3_128_city,branchless_fast_modulo,965934200,4.829671,5
books_200M_uint32,199999999,tabulation_small64,do_nothing,622077400,3.110387,5
books_200M_uint32,199999999,tabulation_small64,fastrange32,511037200,2.555186,5
books_200M_uint32,199999999,tabulation_small64,fastrange64,633976200,3.169881,5
books_200M_uint32,199999999,tabulation_small64,modulo,1870691000,9.353455,5
books_200M_uint32,199999999,tabulation_small64,fast_modulo,682293800,3.411469,5
books_200M_uint32,199999999,tabulation_small64,branchless_fast_modulo,667615400,3.338077,5
books_200M_uint32,199999999,tabulation_large64,do_nothing,621941800,3.109709,5
books_200M_uint32,199999999,tabulation_large64,fastrange32,519621600,2.598108,5
books_200M_uint32,199999999,tabulation_large64,fastrange64,634035200,3.170176,5
books_200M_uint32,199999999,tabulation_large64,modulo,1927199000,9.635995,5
books_200M_uint32,199999999,tabulation_large64,fast_modulo,648206000,3.241030,5
books_200M_uint32,199999999,tabulation_large64,branchless_fast_modulo,663807400,3.319037,5
books_200M_uint32,199999999,city64,do_nothing,539025400,2.695127,5
books_200M_uint32,199999999,city64,fastrange32,471278200,2.356391,5
books_200M_uint32,199999999,city64,fastrange64,559955400,2.799777,5
books_200M_uint32,199999999,city64,modulo,1808337000,9.041685,5
books_200M_uint32,199999999,city64,fast_modulo,606763800,3.033819,5
books_200M_uint32,199999999,city64,branchless_fast_modulo,661087000,3.305435,5
books_200M_uint32,199999999,city128_low,do_nothing,1058724800,5.293624,5
books_200M_uint32,199999999,city128_low,fastrange32,994268000,4.971340,5
books_200M_uint32,199999999,city128_low,fastrange64,1133997200,5.669986,5
books_200M_uint32,199999999,city128_low,modulo,2439535600,12.197678,5
books_200M_uint32,199999999,city128_low,fast_modulo,1147193400,5.735967,5
books_200M_uint32,199999999,city128_low,branchless_fast_modulo,1237743400,6.188717,5
books_200M_uint32,199999999,city128_upp,do_nothing,1309839200,6.549196,5
books_200M_uint32,199999999,city128_upp,fastrange32,1276091400,6.380457,5
books_200M_uint32,199999999,city128_upp,fastrange64,1431455200,7.157276,5
books_200M_uint32,199999999,city128_upp,modulo,2676367000,13.381835,5
books_200M_uint32,199999999,city128_upp,fast_modulo,1460728200,7.303641,5
books_200M_uint32,199999999,city128_upp,branchless_fast_modulo,1521253000,7.606265,5
books_200M_uint32,199999999,city128_xor,do_nothing,1352023200,6.760116,5
books_200M_uint32,199999999,city128_xor,fastrange32,1310984200,6.554921,5
books_200M_uint32,199999999,city128_xor,fastrange64,1457391800,7.286959,5
books_200M_uint32,199999999,city128_xor,modulo,2694617200,13.473086,5
books_200M_uint32,199999999,city128_xor,fast_modulo,1468545800,7.342729,5
books_200M_uint32,199999999,city128_xor,branchless_fast_modulo,1550988400,7.754942,5
books_200M_uint32,199999999,city128_city,do_nothing,1654588600,8.272943,5
books_200M_uint32,199999999,city128_city,fastrange32,1634331000,8.171655,5
books_200M_uint32,199999999,city128_city,fastrange64,1775420000,8.877100,5
books_200M_uint32,199999999,city128_city,modulo,3103046400,15.515232,5
books_200M_uint32,199999999,city128_city,fast_modulo,1903199600,9.515998,5
books_200M_uint32,199999999,city128_city,branchless_fast_modulo,1950455600,9.752278,5
books_200M_uint32,199999999,meow64_low,do_nothing,4288724800,21.443624,5
books_200M_uint32,199999999,meow64_low,fastrange32,4375692800,21.878464,5
books_200M_uint32,199999999,meow64_low,fastrange64,4552027200,22.760136,5
books_200M_uint32,199999999,meow64_low,modulo,6229985000,31.149925,5
books_200M_uint32,199999999,meow64_low,fast_modulo,4387617000,21.938085,5
books_200M_uint32,199999999,meow64_low,branchless_fast_modulo,4554779600,22.773898,5
books_200M_uint32,199999999,meow64_upp,do_nothing,4352356200,21.761781,5
books_200M_uint32,199999999,meow64_upp,fastrange32,4454858400,22.274292,5
books_200M_uint32,199999999,meow64_upp,fastrange64,4620966200,23.104831,5
books_200M_uint32,199999999,meow64_upp,modulo,6258734000,31.293670,5
books_200M_uint32,199999999,meow64_upp,fast_modulo,4469960000,22.349800,5
books_200M_uint32,199999999,meow64_upp,branchless_fast_modulo,4623458800,23.117294,5
books_200M_uint32,199999999,aqua_low,do_nothing,401241000,2.006205,5
books_200M_uint32,199999999,aqua_low,fastrange32,292185000,1.460925,5
books_200M_uint32,199999999,aqua_low,fastrange64,401149000,2.005745,5
books_200M_uint32,199999999,aqua_low,modulo,1629826600,8.149133,5
books_200M_uint32,199999999,aqua_low,fast_modulo,372187200,1.860936,5
books_200M_uint32,199999999,aqua_low,branchless_fast_modulo,444660800,2.223304,5
books_200M_uint32,199999999,aqua_upp,do_nothing,407726000,2.038630,5
books_200M_uint32,199999999,aqua_upp,fastrange32,300548200,1.502741,5
books_200M_uint32,199999999,aqua_upp,fastrange64,409619600,2.048098,5
books_200M_uint32,199999999,aqua_upp,modulo,1641346000,8.206730,5
books_200M_uint32,199999999,aqua_upp,fast_modulo,415093400,2.075467,5
books_200M_uint32,199999999,aqua_upp,branchless_fast_modulo,458937600,2.294688,5
books_200M_uint64,200000000,mult64,do_nothing,395169600,1.975848,5
books_200M_uint64,200000000,mult64,fastrange32,181654000,0.908270,5
books_200M_uint64,200000000,mult64,fastrange64,404464400,2.022322,5
books_200M_uint64,200000000,mult64,modulo,1572537600,7.862688,5
books_200M_uint64,200000000,mult64,fast_modulo,293128400,1.465642,5
books_200M_uint64,200000000,mult64,branchless_fast_modulo,300671000,1.503355,5
books_200M_uint64,200000000,fibo64,do_nothing,348845000,1.744225,5
books_200M_uint64,200000000,fibo64,fastrange32,181585800,0.907929,5
books_200M_uint64,200000000,fibo64,fastrange64,348751400,1.743757,5
books_200M_uint64,200000000,fibo64,modulo,1569049400,7.845247,5
books_200M_uint64,200000000,fibo64,fast_modulo,292111200,1.460556,5
books_200M_uint64,200000000,fibo64,branchless_fast_modulo,297943800,1.489719,5
books_200M_uint64,200000000,fibo_prime64,do_nothing,346225400,1.731127,5
books_200M_uint64,200000000,fibo_prime64,fastrange32,179372400,0.896862,5
books_200M_uint64,200000000,fibo_prime64,fastrange64,347575000,1.737875,5
books_200M_uint64,200000000,fibo_prime64,modulo,1565862400,7.829312,5
books_200M_uint64,200000000,fibo_prime64,fast_modulo,349094800,1.745474,5
books_200M_uint64,200000000,fibo_prime64,branchless_fast_modulo,297313200,1.486566,5
books_200M_uint64,200000000,multadd64,do_nothing,509997800,2.549989,5
books_200M_uint64,200000000,multadd64,fastrange32,267281600,1.336408,5
books_200M_uint64,200000000,multadd64,fastrange64,509723400,2.548617,5
books_200M_uint64,200000000,multadd64,modulo,1711713400,8.558567,5
books_200M_uint64,200000000,multadd64,fast_modulo,411307600,2.056538,5
books_200M_uint64,200000000,multadd64,branchless_fast_modulo,422486800,2.112434,5
books_200M_uint64,200000000,mult64_shift60,do_nothing,351391000,1.756955,5
books_200M_uint64,200000000,mult64_shift60,fastrange32,216558600,1.082793,5
books_200M_uint64,200000000,mult64_shift60,fastrange64,352696600,1.763483,5
books_200M_uint64,200000000,mult64_shift60,modulo,1575314000,7.876570,5
books_200M_uint64,200000000,mult64_shift60,fast_modulo,316050400,1.580252,5
books_200M_uint64,200000000,mult64_shift60,branchless_fast_modulo,335419200,1.677096,5
books_200M_uint64,200000000,fibo64_shift60,do_nothing,403898200,2.019491,5
books_200M_uint64,200000000,fibo64_shift60,fastrange32,217338000,1.086690,5
books_200M_uint64,200000000,fibo64_shift60,fastrange64,406276400,2.031382,5
books_200M_uint64,200000000,fibo64_shift60,modulo,1630378000,8.151890,5
books_200M_uint64,200000000,fibo64_shift60,fast_modulo,315420400,1.577102,5
books_200M_uint64,200000000,fibo64_shift60,branchless_fast_modulo,333303800,1.666519,5
books_200M_uint64,200000000,fibo_prime64_shift60,do_nothing,347698000,1.738490,5
books_200M_uint64,200000000,fibo_prime64_shift60,fastrange32,215489600,1.077448,5
books_200M_uint64,200000000,fibo_prime64_shift60,fastrange64,356589200,1.782946,5
books_200M_uint64,200000000,fibo_prime64_shift60,modulo,1576889600,7.884448,5
books_200M_uint64,200000000,fibo_prime64_shift60,fast_modulo,314670800,1.573354,5
books_200M_uint64,200000000,fibo_prime64_shift60,branchless_fast_modulo,336107000,1.680535,5
books_200M_uint64,200000000,multadd64_shift60,do_nothing,622952400,3.114762,5
books_200M_uint64,200000000,multadd64_shift60,fastrange32,441435400,2.207177,5
books_200M_uint64,200000000,multadd64_shift60,fastrange64,622890200,3.114451,5
books_200M_uint64,200000000,multadd64_shift60,modulo,2050837400,10.254187,5
books_200M_uint64,200000000,multadd64_shift60,fast_modulo,522197600,2.610988,5
books_200M_uint64,200000000,multadd64_shift60,branchless_fast_modulo,570868600,2.854343,5
books_200M_uint64,200000000,mult64_rotate4,do_nothing,348887800,1.744439,5
books_200M_uint64,200000000,mult64_rotate4,fastrange32,243908400,1.219542,5
books_200M_uint64,200000000,mult64_rotate4,fastrange64,363601600,1.818008,5
books_200M_uint64,200000000,mult64_rotate4,modulo,1583905200,7.919526,5
books_200M_uint64,200000000,mult64_rotate4,fast_modulo,462867200,2.314336,5
books_200M_uint64,200000000,mult64_rotate4,branchless_fast_modulo,376467200,1.882336,5
books_200M_uint64,200000000,fibo64_rotate4,do_nothing,406822600,2.034113,5
books_200M_uint64,200000000,fibo64_rotate4,fastrange32,292945200,1.464726,5
books_200M_uint64,200000000,fibo64_rotate4,fastrange64,409798600,2.048993,5
books_200M_uint64,200000000,fibo64_rotate4,modulo,1576453400,7.882267,5
books_200M_uint64,200000000,fibo64_rotate4,fast_modulo,354754200,1.773771,5
books_200M_uint64,200000000,fibo64_rotate4,branchless_fast_modulo,355976400,1.779882,5
books_200M_uint64,200000000,fibo_prime64_rotate4,do_nothing,408814600,2.044073,5
books_200M_uint64,200000000,fibo_prime64_rotate4,fastrange32,291917000,1.459585,5
books_200M_uint64,200000000,fibo_prime64_rotate4,fastrange64,411408600,2.057043,5
books_200M_uint64,200000000,fibo_prime64_rotate4,modulo,1575119600,7.875598,5
books_200M_uint64,200000000,fibo_prime64_rotate4,fast_modulo,356175600,1.780878,5
books_200M_uint64,200000000,fibo_prime64_rotate4,branchless_fast_modulo,358506000,1.792530,5
books_200M_uint64,200000000,multadd64_rotate4,do_nothing,461482200,2.307411,5
books_200M_uint64,200000000,multadd64_rotate4,fastrange32,357304400,1.786522,5
books_200M_uint64,200000000,multadd64_rotate4,fastrange64,513381400,2.566907,5
books_200M_uint64,200000000,multadd64_rotate4,modulo,1898474200,9.492371,5
books_200M_uint64,200000000,multadd64_rotate4,fast_modulo,567646200,2.838231,5
books_200M_uint64,200000000,multadd64_rotate4,branchless_fast_modulo,471594800,2.357974,5
books_200M_uint64,200000000,murmur3_128_low,do_nothing,1426213200,7.131066,5
books_200M_uint64,200000000,murmur3_128_low,fastrange32,1112926200,5.564631,5
books_200M_uint64,200000000,murmur3_128_low,fastrange64,1511304000,7.556520,5
books_200M_uint64,200000000,murmur3_128_low,modulo,2820122400,14.100612,5
books_200M_uint64,200000000,murmur3_128_low,fast_modulo,1203602000,6.018010,5
books_200M_uint64,200000000,murmur3_128_low,branchless_fast_modulo,1295594600,6.477973,5
books_200M_uint64,200000000,murmur3_128_upp,do_nothing,1425163800,7.125819,5
books_200M_uint64,200000000,murmur3_128_upp,fastrange32,1071639200,5.358196,5
books_200M_uint64,200000000,murmur3_128_upp,fastrange64,1474814000,7.374070,5
books_200M_uint64,200000000,murmur3_128_upp,modulo,2791192400,13.955962,5
books_200M_uint64,200000000,murmur3_128_upp,fast_modulo,1230524600,6.152623,5
books_200M_uint64,200000000,murmur3_128_upp,branchless_fast_modulo,1292833800,6.464169,5
books_200M_uint64,200000000,murmur3_128_xor,do_nothing,1514521200,7.572606,5
books_200M_uint64,200000000,murmur3_128_xor,fastrange32,1135479000,5.677395,5
books_200M_uint64,200000000,murmur3_128_xor,fastrange64,1603968000,8.019840,5
books_200M_uint64,200000000,murmur3_128_xor,modulo,2832865000,14.164325,5
books_200M_uint64,200000000,murmur3_128_xor,fast_modulo,1328371400,6.641857,5
books_200M_uint64,200000000,murmur3_128_xor,branchless_fast_modulo,1355784000,6.778920,5
books_200M_uint64,200000000,murmur3_128_city,do_nothing,1763253600,8.816268,5
books_200M_uint64,200000000,murmur3_128_city,fastrange32,1422853200,7.114266,5
books_200M_uint64,200000000,murmur3_128_city,fastrange64,1846959200,9.234796,5
books_200M_uint64,200000000,murmur3_128_city,modulo,3118057000,15.590285,5
books_200M_uint64,200000000,murmur3_128_city,fast_modulo,1547919000,7.739595,5
books_200M_uint64,200000000,murmur3_128_city,branchless_fast_modulo,1662280600,8.311403,5
books_200M_uint64,200000000,murmur3_fin64,do_nothing,411598800,2.057994,5
books_200M_uint64,200000000,murmur3_fin64,fastrange32,351549800,1.757749,5
books_200M_uint64,200000000,murmur3_fin64,fastrange64,435833600,2.179168,5
books_200M_uint64,200000000,murmur3_fin64,modulo,1743668000,8.718340,5
books_200M_uint64,200000000,murmur3_fin64,fast_modulo,514346000,2.571730,5
books_200M_uint64,200000000,murmur3_fin64,branchless_fast_modulo,475448000,2.377240,5
books_200M_uint64,200000000,xxh64,do_nothing,796440800,3.982204,5
books_200M_uint64,200000000,xxh64,fastrange32,683335400,3.416677,5
books_200M_uint64,200000000,xxh64,fastrange64,808321200,4.041606,5
books_200M_uint64,200000000,xxh64,modulo,2034337600,10.171688,5
books_200M_uint64,200000000,xxh64,fast_modulo,802865400,4.014327,5
books_200M_uint64,200000000,xxh64,branchless_fast_modulo,873852200,4.369261,5
books_200M_uint64,200000000,xxh3,do_nothing,590615800,2.953079,5
books_200M_uint64,200000000,xxh3,fastrange32,415162400,2.075812,5
books_200M_uint64,200000000,xxh3,fastrange64,684266600,3.421333,5
books_200M_uint64,200000000,xxh3,modulo,1878736200,9.393681,5
books_200M_uint64,200000000,xxh3,fast_modulo,565655200,2.828276,5
books_200M_uint64,200000000,xxh3,branchless_fast_modulo,621959200,3.109796,5
books_200M_uint64,200000000,xxh3_128_low,do_nothing,631929800,3.159649,5
books_200M_uint64,200000000,xxh3_128_low,fastrange32,381394200,1.906971,5
