dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
wiki_ts_200M_uint64,90437011,mult64,do_nothing,175167400,1.936899,5
wiki_ts_200M_uint64,90437011,mult64,fastrange32,71379400,0.789272,5
wiki_ts_200M_uint64,90437011,mult64,fastrange64,173085600,1.913880,5
wiki_ts_200M_uint64,90437011,mult64,modulo,708094400,7.829697,5
wiki_ts_200M_uint64,90437011,mult64,fast_modulo,196128200,2.168672,5
wiki_ts_200M_uint64,90437011,mult64,branchless_fast_modulo,122785600,1.357692,5
wiki_ts_200M_uint64,90437011,fibo64,do_nothing,172098600,1.902966,5
wiki_ts_200M_uint64,90437011,fibo64,fastrange32,70233400,0.776600,5
wiki_ts_200M_uint64,90437011,fibo64,fastrange64,171979800,1.901653,5
wiki_ts_200M_uint64,90437011,fibo64,modulo,705676000,7.802956,5
wiki_ts_200M_uint64,90437011,fibo64,fast_modulo,161385600,1.784508,5
wiki_ts_200M_uint64,90437011,fibo64,branchless_fast_modulo,113878200,1.259199,5
wiki_ts_200M_uint64,90437011,fibo_prime64,do_nothing,146228200,1.616907,5
wiki_ts_200M_uint64,90437011,fibo_prime64,fastrange32,70429400,0.778767,5
wiki_ts_200M_uint64,90437011,fibo_prime64,fastrange64,146648600,1.621555,5
wiki_ts_200M_uint64,90437011,fibo_prime64,modulo,740111000,8.183718,5
wiki_ts_200M_uint64,90437011,fibo_prime64,fast_modulo,161466000,1.785397,5
wiki_ts_200M_uint64,90437011,fibo_prime64,branchless_fast_modulo,123417000,1.364674,5
wiki_ts_200M_uint64,90437011,multadd64,do_nothing,196842600,2.176571,5
wiki_ts_200M_uint64,90437011,multadd64,fastrange32,120374400,1.331030,5
wiki_ts_200M_uint64,90437011,multadd64,fastrange64,197077000,2.179163,5
wiki_ts_200M_uint64,90437011,multadd64,modulo,800684200,8.853501,5
wiki_ts_200M_uint64,90437011,multadd64,fast_modulo,202144000,2.235191,5
wiki_ts_200M_uint64,90437011,multadd64,branchless_fast_modulo,197107400,2.179499,5
wiki_ts_200M_uint64,90437011,mult64_shift59,do_nothing,172504000,1.907449,5
wiki_ts_200M_uint64,90437011,mult64_shift59,fastrange32,95814400,1.059460,5
wiki_ts_200M_uint64,90437011,mult64_shift59,fastrange64,173250400,1.915702,5
