dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint32,199999999,mult64,do_nothing,346970371,1.734852,10
osm_cellids_200M_uint64,200000000,mult64,do_nothing,347130572,1.735653,10
fb_200M_uint64,200000000,mult64,do_nothing,354906046,1.774530,10
books_200M_uint32,199999999,mult64,fastrange32,221483915,1.107420,10
osm_cellids_200M_uint64,200000000,mult64,fastrange32,222517984,1.112590,10
fb_200M_uint64,200000000,mult64,fastrange32,213347658,1.066738,10
books_200M_uint32,199999999,mult64,fastrange64,344292805,1.721464,10
osm_cellids_200M_uint64,200000000,mult64,fastrange64,343937684,1.719688,10
wiki_ts_200M_uint64,90437011,mult64,do_nothing,156328866,1.728594,10
fb_200M_uint64,200000000,mult64,fastrange64,340180713,1.700904,10
wiki_ts_200M_uint64,90437011,mult64,fastrange32,70758304,0.782404,10
wiki_ts_200M_uint64,90437011,mult64,fastrange64,144852977,1.601700,10
wiki_ts_200M_uint64,90437011,mult64,modulo,579382604,6.406477,10
wiki_ts_200M_uint64,90437011,mult64,fast_modulo,126636437,1.400272,10
wiki_ts_200M_uint64,90437011,mult64,branchless_fast_modulo,105826278,1.170166,10
wiki_ts_200M_uint64,90437011,fibo64,do_nothing,149162870,1.649356,10
books_200M_uint32,199999999,mult64,modulo,1281983469,6.409917,10
osm_cellids_200M_uint64,200000000,mult64,modulo,1282795253,6.413976,10
wiki_ts_200M_uint64,90437011,fibo64,fastrange32,74093882,0.819287,10
fb_200M_uint64,200000000,mult64,modulo,1281994748,6.409974,10
wiki_ts_200M_uint64,90437011,fibo64,fastrange64,176427843,1.950837,10
books_200M_uint64,200000000,mult64,do_nothing,371070579,1.855353,10
books_200M_uint32,199999999,mult64,fast_modulo,309267272,1.546336,10
osm_cellids_200M_uint64,200000000,mult64,fast_modulo,309515358,1.547577,10
fb_200M_uint64,200000000,mult64,fast_modulo,318582343,1.592912,10
books_200M_uint64,200000000,mult64,fastrange32,234649357,1.173247,10
books_200M_uint32,199999999,mult64,branchless_fast_modulo,317791369,1.588957,10
osm_cellids_200M_uint64,200000000,mult64,branchless_fast_modulo,316465998,1.582330,10
fb_200M_uint64,200000000,mult64,branchless_fast_modulo,307497578,1.537488,10
wiki_ts_200M_uint64,90437011,fibo64,modulo,585224733,6.471076,10
books_200M_uint64,200000000,mult64,fastrange64,356161209,1.780806,10
wiki_ts_200M_uint64,90437011,fibo64,fast_modulo,147587822,1.631941,10
books_200M_uint32,199999999,fibo64,do_nothing,357410280,1.787051,10
osm_cellids_200M_uint64,200000000,fibo64,do_nothing,357906430,1.789532,10
fb_200M_uint64,200000000,fibo64,do_nothing,363233682,1.816168,10
wiki_ts_200M_uint64,90437011,fibo64,branchless_fast_modulo,143887755,1.591027,10
books_200M_uint32,199999999,fibo64,fastrange32,241273425,1.206367,10
