dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
wiki_ts_200M_uint64,90437011,mult_prime64,do_nothing,87032520,0.962355,10
wiki_ts_200M_uint64,90437011,mult_prime64,fastrange32,86854410,0.960386,10
wiki_ts_200M_uint64,90437011,mult_prime64,fastrange64,90256414,0.998003,10
wiki_ts_200M_uint64,90437011,mult_prime64,modulo,610281880,6.748143,10
wiki_ts_200M_uint64,90437011,mult_prime64,fast_modulo,113319137,1.253017,10
wiki_ts_200M_uint64,90437011,mult_prime64,branchless_fast_modulo,112634882,1.245451,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci64,do_nothing,76177076,0.842322,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci64,fastrange32,86442722,0.955833,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci64,fastrange64,86478610,0.956230,10
books_200M_uint32,199999999,mult_prime64,do_nothing,162924081,0.814620,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci64,modulo,620264354,6.858523,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci64,fast_modulo,117908287,1.303761,10
books_200M_uint32,199999999,mult_prime64,fastrange32,189900667,0.949503,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci64,branchless_fast_modulo,119574437,1.322185,10
gapped_1percent_200M_uint64,200000000,mult_prime64,do_nothing,196567052,0.982835,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime64,do_nothing,86407161,0.955440,10
books_200M_uint32,199999999,mult_prime64,fastrange64,204217688,1.021088,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime64,fastrange32,98309208,1.087046,10
gapped_1percent_200M_uint64,200000000,mult_prime64,fastrange32,211374055,1.056870,10
consecutive_200M_uint64,200000000,mult_prime64,do_nothing,216020977,1.080105,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime64,fastrange64,88430215,0.977810,10
osm_cellids_200M_uint64,200000000,mult_prime64,do_nothing,269988866,1.349944,10
gapped_1percent_200M_uint64,200000000,mult_prime64,fastrange64,183970153,0.919851,10
consecutive_200M_uint64,200000000,mult_prime64,fastrange32,188419273,0.942096,10
osm_cellids_200M_uint64,200000000,mult_prime64,fastrange32,222521722,1.112609,10
consecutive_200M_uint64,200000000,mult_prime64,fastrange64,180028376,0.900142,10
osm_cellids_200M_uint64,200000000,mult_prime64,fastrange64,209322568,1.046613,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime64,modulo,627906169,6.943022,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime64,fast_modulo,114376660,1.264711,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime64,branchless_fast_modulo,112102968,1.239570,10
wiki_ts_200M_uint64,90437011,mult_add64,do_nothing,74553190,0.824366,10
wiki_ts_200M_uint64,90437011,mult_add64,fastrange32,79971347,0.884277,10
wiki_ts_200M_uint64,90437011,mult_add64,fastrange64,80513261,0.890269,10
books_200M_uint32,199999999,mult_prime64,modulo,1401263273,7.006316,10
books_200M_uint32,199999999,mult_prime64,fast_modulo,257891683,1.289458,10
gapped_1percent_200M_uint64,200000000,mult_prime64,modulo,1390532210,6.952661,10
consecutive_200M_uint64,200000000,mult_prime64,modulo,1403268832,7.016344,10
books_200M_uint32,199999999,mult_prime64,branchless_fast_modulo,254981858,1.274909,10
wiki_ts_200M_uint64,90437011,mult_add64,modulo,709036796,7.840118,10
gapped_1percent_200M_uint64,200000000,mult_prime64,fast_modulo,252091209,1.260456,10
osm_cellids_200M_uint64,200000000,mult_prime64,modulo,1304937071,6.524685,10
wiki_ts_200M_uint64,90437011,mult_add64,fast_modulo,142633562,1.577159,10
books_200M_uint32,199999999,mult_fibonnaci64,do_nothing,187686353,0.938432,10
consecutive_200M_uint64,200000000,mult_prime64,fast_modulo,270252355,1.351262,10
gapped_1percent_200M_uint64,200000000,mult_prime64,branchless_fast_modulo,274629377,1.373147,10
wiki_ts_200M_uint64,90437011,mult_add64,branchless_fast_modulo,158115006,1.748344,10
osm_cellids_200M_uint64,200000000,mult_prime64,fast_modulo,329468051,1.647340,10
books_200M_uint32,199999999,mult_fibonnaci64,fastrange32,197917447,0.989587,10
wiki_ts_200M_uint64,90437011,mult_prime_shift36_64,do_nothing,90044452,0.995659,10
wiki_ts_200M_uint64,90437011,mult_prime_shift36_64,fastrange32,91825697,1.015355,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci64,do_nothing,196977456,0.984887,10
consecutive_200M_uint64,200000000,mult_prime64,branchless_fast_modulo,301555451,1.507777,10
wiki_ts_200M_uint64,90437011,mult_prime_shift36_64,fastrange64,93995290,1.039345,10
books_200M_uint32,199999999,mult_fibonnaci64,fastrange64,202834627,1.014173,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci64,fastrange32,193964460,0.969822,10
osm_cellids_200M_uint64,200000000,mult_prime64,branchless_fast_modulo,344516498,1.722582,10
consecutive_200M_uint64,200000000,mult_fibonnaci64,do_nothing,174879488,0.874397,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci64,fastrange64,183901277,0.919506,10
consecutive_200M_uint64,200000000,mult_fibonnaci64,fastrange32,182162464,0.910812,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci64,do_nothing,226008324,1.130042,10
wiki_ts_200M_uint64,90437011,mult_prime_shift36_64,modulo,476161285,5.265115,10
consecutive_200M_uint64,200000000,mult_fibonnaci64,fastrange64,176843955,0.884220,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci64,fastrange32,217501600,1.087508,10
wiki_ts_200M_uint64,90437011,mult_prime_shift36_64,fast_modulo,136510323,1.509452,10
wiki_ts_200M_uint64,90437011,mult_prime_shift36_64,branchless_fast_modulo,145544556,1.609347,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci64,fastrange64,213981048,1.069905,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_shift36_64,do_nothing,69609449,0.769701,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_shift36_64,fastrange32,80780355,0.893222,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_shift36_64,fastrange64,80026066,0.884882,10
books_200M_uint32,199999999,mult_fibonnaci64,modulo,1390500639,6.952503,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_shift36_64,modulo,482408761,5.334196,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_shift36_64,fast_modulo,147176651,1.627394,10
books_200M_uint32,199999999,mult_fibonnaci64,fast_modulo,250069197,1.250346,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci64,modulo,1390711791,6.953559,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_shift36_64,branchless_fast_modulo,132976239,1.470374,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime_shift36_64,do_nothing,79144793,0.875137,10
consecutive_200M_uint64,200000000,mult_fibonnaci64,modulo,1391593713,6.957969,10
books_200M_uint32,199999999,mult_fibonnaci64,branchless_fast_modulo,255573677,1.277868,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime_shift36_64,fastrange32,85781843,0.948526,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci64,fast_modulo,262879430,1.314397,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime_shift36_64,fastrange64,87907683,0.972032,10
books_200M_uint32,199999999,mult_fibonnaci_prime64,do_nothing,174263346,0.871317,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci64,modulo,1304520559,6.522603,10
consecutive_200M_uint64,200000000,mult_fibonnaci64,fast_modulo,263432617,1.317163,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci64,branchless_fast_modulo,267600927,1.338005,10
books_200M_uint32,199999999,mult_fibonnaci_prime64,fastrange32,190477471,0.952387,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci_prime64,do_nothing,183363624,0.916818,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci64,fast_modulo,308085094,1.540425,10
consecutive_200M_uint64,200000000,mult_fibonnaci64,branchless_fast_modulo,270974143,1.354871,10
books_200M_uint32,199999999,mult_fibonnaci_prime64,fastrange64,193094859,0.965474,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime_shift36_64,modulo,477072411,5.275190,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci_prime64,fastrange32,193003296,0.965016,10
consecutive_200M_uint64,200000000,mult_fibonnaci_prime64,do_nothing,178343430,0.891717,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime_shift36_64,fast_modulo,144231356,1.594827,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci64,branchless_fast_modulo,320983080,1.604915,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci_prime64,fastrange64,191937196,0.959686,10
wiki_ts_200M_uint64,90437011,mult_fibonnaci_prime_shift36_64,branchless_fast_modulo,155463318,1.719023,10
consecutive_200M_uint64,200000000,mult_fibonnaci_prime64,fastrange32,187316223,0.936581,10
wiki_ts_200M_uint64,90437011,mult_add_shift28_64,do_nothing,90642414,1.002271,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci_prime64,do_nothing,219512006,1.097560,10
consecutive_200M_uint64,200000000,mult_fibonnaci_prime64,fastrange64,182673261,0.913366,10
wiki_ts_200M_uint64,90437011,mult_add_shift28_64,fastrange32,121132043,1.339408,10
wiki_ts_200M_uint64,90437011,mult_add_shift28_64,fastrange64,118937518,1.315142,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci_prime64,fastrange32,212462597,1.062313,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci_prime64,fastrange64,207278943,1.036395,10
books_200M_uint32,199999999,mult_fibonnaci_prime64,modulo,1392002716,6.960014,10
wiki_ts_200M_uint64,90437011,mult_add_shift28_64,modulo,787649508,8.709371,10
wiki_ts_200M_uint64,90437011,mult_add_shift28_64,fast_modulo,174757661,1.932369,10
books_200M_uint32,199999999,mult_fibonnaci_prime64,fast_modulo,250215401,1.251077,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci_prime64,modulo,1393894628,6.969473,10
wiki_ts_200M_uint64,90437011,mult_add_shift28_64,branchless_fast_modulo,174868336,1.933593,10
books_200M_uint32,199999999,mult_fibonnaci_prime64,branchless_fast_modulo,251551209,1.257756,10
consecutive_200M_uint64,200000000,mult_fibonnaci_prime64,modulo,1416795837,7.083979,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci_prime64,fast_modulo,252619186,1.263096,10
books_200M_uint32,199999999,mult_add64,do_nothing,177626306,0.888132,10
consecutive_200M_uint64,200000000,mult_fibonnaci_prime64,fast_modulo,255998111,1.279991,10
osm_cellids_200M_uint64,200000000,mult_fibonnaci_prime64,modulo,1303264542,6.516323,10
gapped_1percent_200M_uint64,200000000,mult_fibonnaci_prime64,branchless_fast_modulo,255727953,1.278640,10
books_200M_uint32,199999999,mult_add64,fastrange32,194586243,0.972931,10
wiki_ts_200M_uint64,90437011,nurmur3_128_low,do_nothing,516314083,5.709102,10
gapped_1percent_200M_uint64,200000000,mult_add64,do_nothing,185995080,0.929975,10
consecutive_200M_uint64,200000000,mult_fibonnaci_prime64,branchless_fast_modulo,268329957,1.341650,10
