dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint32,199999999,city128_city,branchless_fast_modulo,1937377225,9.686886,10
books_200M_uint32,199999999,city128_city,do_nothing,1522101458,7.610507,10
books_200M_uint32,199999999,city128_city,fast_modulo,1843345974,9.216730,10
books_200M_uint32,199999999,city128_city,fastrange32,1651562555,8.257813,10
books_200M_uint32,199999999,city128_city,fastrange64,1669514966,8.347575,10
books_200M_uint32,199999999,city128_city,modulo,2861220577,14.306103,10
books_200M_uint32,199999999,city128_low,branchless_fast_modulo,1493250345,7.466252,10
books_200M_uint32,199999999,city128_low,do_nothing,1157733639,5.788668,10
books_200M_uint32,199999999,city128_low,fast_modulo,1413115464,7.065577,10
books_200M_uint32,199999999,city128_low,fastrange32,1231006198,6.155031,10
books_200M_uint32,199999999,city128_low,fastrange64,1234870525,6.174353,10
books_200M_uint32,199999999,city128_low,modulo,2460251432,12.301257,10
books_200M_uint32,199999999,city128_upp,branchless_fast_modulo,1183365201,5.916826,10
books_200M_uint32,199999999,city128_upp,do_nothing,893260168,4.466301,10
books_200M_uint32,199999999,city128_upp,fast_modulo,1090516975,5.452585,10
books_200M_uint32,199999999,city128_upp,fastrange32,962693227,4.813466,10
books_200M_uint32,199999999,city128_upp,fastrange64,977446589,4.887233,10
books_200M_uint32,199999999,city128_upp,modulo,2104763657,10.523818,10
books_200M_uint32,199999999,city128_xor,branchless_fast_modulo,1554381158,7.771906,10
books_200M_uint32,199999999,city128_xor,do_nothing,1166578356,5.832892,10
books_200M_uint32,199999999,city128_xor,fast_modulo,1469156128,7.345781,10
books_200M_uint32,199999999,city128_xor,fastrange32,1274223201,6.371116,10
books_200M_uint32,199999999,city128_xor,fastrange64,1261749265,6.308746,10
books_200M_uint32,199999999,city128_xor,modulo,2483962492,12.419813,10
books_200M_uint32,199999999,city64,branchless_fast_modulo,619838814,3.099194,10
books_200M_uint32,199999999,city64,do_nothing,383414563,1.917073,10
books_200M_uint32,199999999,city64,fast_modulo,588030483,2.940152,10
books_200M_uint32,199999999,city64,fastrange32,425808258,2.129041,10
books_200M_uint32,199999999,city64,fastrange64,413724839,2.068624,10
books_200M_uint32,199999999,city64,modulo,1591813600,7.959068,10
