dataset,numelements,model,reducer,sample_size,model_count,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
wiki_ts_200M_uint64,90437011,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,,9160737,0.101294,5294666,0.058545,22879525,0.252989,3140930299,34.730585,3178265227,35.143413,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,,96952837,0.484764,13110396,0.065552,2230135,0.011151,3754113858,18.770569,3866407226,19.332036,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,,97722327,0.488612,12480694,0.062403,3473088,0.017365,3768758684,18.843793,3882434793,19.412174,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,,14281608,0.071408,12268681,0.061343,3992039,0.019960,4184243483,20.921218,4214785811,21.073929,10
wiki_ts_200M_uint64,90437011,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,,9160737,0.101294,5294666,0.058545,1580916,0.017481,3210116316,35.495604,3226152635,35.672924,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,,130167545,0.650838,11510484,0.057552,4877951,0.024390,6991747987,34.958740,7138303967,35.691520,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,,96952837,0.484764,13110396,0.065552,2060960,0.010305,3908867808,19.544339,4020992001,20.104960,10
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,,97722327,0.488612,12480694,0.062403,1109658,0.005548,3885019831,19.425099,3996332510,19.981663,10
wiki_ts_200M_uint64,90437011,pgm_hash_eps16_epsrec4,min_max_cutoff,0.001000,,9160737,0.101294,5294666,0.058545,1517751,0.016782,3216961450,35.571293,3232934604,35.747915,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,,14281608,0.071408,12268681,0.061343,1647026,0.008235,4431931667,22.159658,4460128982,22.300645,10
wiki_ts_200M_uint64,90437011,pgm_hash_eps4_epsrec4,min_max_cutoff,0.001000,,9160737,0.101294,5294666,0.058545,1503163,0.016621,3293333639,36.415773,3309292205,36.592233,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.001000,,97722327,0.488612,12480694,0.062403,1967875,0.009839,3843229761,19.216149,3955400657,19.777003,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.001000,,96952837,0.484764,13110396,0.065552,1955176,0.009776,4100583171,20.502916,4212601580,21.063008,10
wiki_ts_200M_uint64,90437011,pgm_hash_eps256_epsrec1,min_max_cutoff,0.001000,,9160737,0.101294,5294666,0.058545,1619395,0.017906,2444464579,27.029471,2460539377,27.207217,10
