dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint32,199999999,pgm_eps128_epsrec4,min_max_cutoff,0.001000,12018544,0.060093,8856505,0.044283,12491964,0.062460,3743418183,18.717091,3776785196,18.883926,
books_200M_uint32,199999999,pgm_eps128_epsrec4,min_max_cutoff,0.010000,112079330,0.560397,107214630,0.536073,14877057,0.074385,5693007233,28.465036,5927178250,29.635891,
books_200M_uint32,199999999,pgm_eps128_epsrec4,min_max_cutoff,0.100000,922585375,4.612927,1274771025,6.373855,108088089,0.540440,6643170706,33.215854,8948615195,44.743076,
books_200M_uint32,199999999,pgm_eps128_epsrec4,min_max_cutoff,1.000000,536131633,2.680658,14527568357,72.637842,1010851133,5.054256,9969277247,49.846386,26043828370,130.219143,
books_200M_uint32,199999999,pgm_eps16_epsrec4,min_max_cutoff,0.001000,11172205,0.055861,9383622,0.046918,3594324,0.017972,6407038054,32.035190,6431188205,32.155941,
books_200M_uint32,199999999,pgm_eps16_epsrec4,min_max_cutoff,0.010000,96727334,0.483637,110866373,0.554332,17851040,0.089255,6743185643,33.715928,6968630390,34.843152,
books_200M_uint32,199999999,pgm_eps16_epsrec4,min_max_cutoff,0.100000,1006759024,5.033795,1247660793,6.238304,125261582,0.626308,10164864425,50.824322,12544545824,62.722729,
books_200M_uint32,199999999,pgm_eps16_epsrec4,min_max_cutoff,1.000000,554699063,2.773495,14610728065,73.053641,1366770014,6.833850,18770602908,93.853015,35302800050,176.514001,
books_200M_uint32,199999999,pgm_eps8_epsrec4,min_max_cutoff,0.001000,11383696,0.056918,8811053,0.044055,3308147,0.016541,6574040308,32.870202,6597543204,32.987716,
books_200M_uint32,199999999,pgm_eps8_epsrec4,min_max_cutoff,0.010000,89412833,0.447064,110936821,0.554684,20798362,0.103992,7091095749,35.455479,7312243765,36.561219,
books_200M_uint32,199999999,pgm_eps8_epsrec4,min_max_cutoff,0.100000,1023025164,5.115126,1250556045,6.252780,139174155,0.695871,11325955842,56.629779,13738711206,68.693556,
books_200M_uint32,199999999,pgm_eps8_epsrec4,min_max_cutoff,1.000000,556143066,2.780715,14779195837,73.895980,1428558163,7.142791,20015980388,100.079902,36779877454,183.899388,
books_200M_uint32,199999999,pgm_hash_eps128_epsrec4,min_max_cutoff,0.001000,10940714,0.054704,9113845,0.045569,2432908,0.012165,3598962875,17.994814,3621450342,18.107252,
books_200M_uint32,199999999,pgm_hash_eps128_epsrec4,min_max_cutoff,0.010000,94579419,0.472897,109031175,0.545156,14757290,0.073786,5476216084,27.381081,5694583968,28.472920,
books_200M_uint32,199999999,pgm_hash_eps128_epsrec4,min_max_cutoff,0.100000,1183879655,5.919398,1279713450,6.398567,84892690,0.424463,6457404880,32.287025,9005890675,45.029454,
books_200M_uint32,199999999,pgm_hash_eps128_epsrec4,min_max_cutoff,1.000000,567441638,2.837208,14766596838,73.832985,956302728,4.781514,9957377112,49.786886,26247718316,131.238592,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec4,min_max_cutoff,0.001000,11578964,0.057895,8798437,0.043992,2867925,0.014340,6174023543,30.870118,6197268869,30.986344,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec4,min_max_cutoff,0.010000,97337108,0.486686,105162493,0.525812,19380585,0.096903,6516578725,32.582894,6738458911,33.692295,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec4,min_max_cutoff,0.100000,1011115435,5.055577,1269482012,6.347410,132631488,0.663157,9745398446,48.726992,12158627381,60.793137,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,559597960,2.797990,14648332058,73.241661,1196973729,5.984869,17216682559,86.083413,33621586306,168.107932,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,0.001000,10508106,0.052541,9380860,0.046904,1266538,0.006333,8287269378,41.436347,8308424882,41.542125,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,0.010000,97752086,0.488760,106961321,0.534807,12042339,0.060212,12170658987,60.853295,12387414733,61.937074,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,1013326916,5.066635,1274985737,6.374929,91479398,0.457397,18035859665,90.179299,20415651716,102.078259,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,574602148,2.873011,14743418883,73.717095,1018923356,5.094617,37916822647,189.584114,54253767034,271.268837,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,0.001000,10964598,0.054823,9393328,0.046967,1270647,0.006353,5578806680,27.894034,5600435253,28.002176,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,0.010000,93711396,0.468557,111656138,0.558281,11932083,0.059660,7725416573,38.627083,7942716190,39.713581,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,0.100000,1137268188,5.686341,1242128506,6.210643,84877516,0.424388,10316025827,51.580129,12780300037,63.901501,
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,557865278,2.789326,14629910619,73.149553,1051742629,5.258713,21580470040,107.902351,37819988566,189.099944,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,0.001000,10979255,0.054896,8830349,0.044152,1521601,0.007608,4071813468,20.359067,4093144673,20.465723,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,0.010000,102832338,0.514162,110130834,0.550654,9615130,0.048076,4549702228,22.748511,4772280530,23.861403,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,1266956985,6.334785,1254289042,6.271445,68699700,0.343499,6557040703,32.785204,9146986430,45.734932,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,584386989,2.921935,14694322313,73.471612,650156666,3.250783,10529158730,52.645794,26458024698,132.290124,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,0.001000,10623202,0.053116,9367121,0.046836,1387700,0.006939,4535770668,22.678853,4557148691,22.785744,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,0.010000,102476344,0.512382,106809646,0.534048,9502032,0.047510,5033890678,25.169454,5252678700,26.263394,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,0.100000,1418047218,7.090236,1297979210,6.489896,72116009,0.360580,5449104825,27.245524,8237247262,41.186237,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,597415560,2.987078,14870091892,74.350460,659245190,3.296226,9660966713,48.304834,25787719355,128.938597,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,10559493,0.052797,8786580,0.043933,2064723,0.010324,3716289055,18.581445,3737699851,18.688499,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,0.010000,105456402,0.527282,105291360,0.526457,9290550,0.046453,3951542610,19.757713,4171580922,20.857905,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,0.100000,1014971366,5.074857,1242256521,6.211283,74698506,0.373493,6354042142,31.770211,8685968535,43.429843,
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,545168935,2.725845,14684015500,73.420078,672373202,3.361866,6951510156,34.757551,22853067793,114.265340,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,0.001000,10842852,0.054214,8969815,0.044849,1788417,0.008942,12346667014,61.733335,12368268098,61.841341,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,0.010000,91354367,0.456772,104673555,0.523368,15669239,0.078346,17752077113,88.760386,17963774274,89.818872,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,988949523,4.944748,1235977595,6.179888,121777673,0.608888,29571842342,147.859212,31918547133,159.592736,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,597805858,2.989029,14809345079,74.046726,1385871141,6.929356,74255163398,371.275819,91048185476,455.240930,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,0.001000,11048440,0.055242,8814811,0.044074,1817477,0.009087,8488497167,42.442486,8510177895,42.550890,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,0.010000,95080526,0.475403,104340494,0.521702,16628172,0.083141,10690691901,53.453460,10906741093,54.533706,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,1032710747,5.163554,1248388548,6.241943,126669804,0.633349,17322780374,86.613902,19730549473,98.652748,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,535690261,2.678451,14574545760,72.872729,1425755651,7.128778,30344072466,151.720363,46880064138,234.400322,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,0.001000,10451263,0.052256,9362019,0.046810,3387989,0.016940,6629613212,33.148066,6652814483,33.264073,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,0.010000,93016440,0.465082,104983744,0.524919,17341145,0.086706,9890561899,49.452810,10105903228,50.529516,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,0.100000,1065777531,5.328888,1223453283,6.117266,135651224,0.678256,14326608250,71.633042,16751490288,83.757452,
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,539146055,2.695730,14532961014,72.664805,1454849051,7.274245,21657915796,108.289580,38184871916,190.924361,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,0.001000,10522056,0.052610,9377973,0.046890,1247676,0.006238,4623815568,23.119078,4644963273,23.224816,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,0.010000,93449589,0.467248,107844097,0.539220,9627815,0.048139,7127164202,35.635821,7338085703,36.690429,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,977514183,4.887571,1281374659,6.406873,74953730,0.374769,11033237745,55.166189,13367080317,66.835402,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,564924985,2.824625,14614308785,73.071544,806171694,4.030858,18996903581,94.984518,34982309045,174.911546,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,0.001000,10761848,0.053809,9370188,0.046851,1253669,0.006268,5066320714,25.331604,5087706419,25.438532,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,0.010000,106609908,0.533050,104895297,0.524476,8613253,0.043066,5329686529,26.648433,5549804987,27.749025,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,0.100000,1098068374,5.490342,1280260144,6.401301,75775838,0.378879,7548422466,37.742113,10002526822,50.012634,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,556347854,2.781739,14971744382,74.858722,764665052,3.823325,11595381528,57.976908,27888138816,139.440695,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,11647947,0.058240,8833748,0.044169,1294871,0.006474,5611862214,28.059311,5633638780,28.168194,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,0.010000,92773954,0.463870,111228953,0.556145,10040972,0.050205,6034494602,30.172473,6248538481,31.242693,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,0.100000,992097738,4.960489,1253346233,6.266731,75940787,0.379704,6722598272,33.612992,9043983030,45.219915,
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,547705263,2.738526,14566883164,72.834416,861417674,4.307088,11116788392,55.583942,27092794493,135.463973,
books_200M_uint32,199999999,pgm_hash_eps8_epsrec4,min_max_cutoff,0.001000,10642594,0.053213,9390282,0.046951,3139737,0.015699,6490646860,32.453234,6513819473,32.569098,
books_200M_uint32,199999999,pgm_hash_eps8_epsrec4,min_max_cutoff,0.010000,185671904,0.928360,168809473,0.844047,28891934,0.144460,7203931333,36.019657,7587304644,37.936523,
books_200M_uint32,199999999,pgm_hash_eps8_epsrec4,min_max_cutoff,0.100000,1147880038,5.739400,1210682877,6.053414,130595463,0.652977,11227028275,56.135142,13716186653,68.580934,
books_200M_uint32,199999999,pgm_hash_eps8_epsrec4,min_max_cutoff,1.000000,580135103,2.900676,14696148042,73.480741,1594640012,7.973200,19659348554,98.296743,36530271711,182.651359,
books_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,0.001000,12330059,0.061650,9438022,0.047190,2933989,0.014670,3877944331,19.389722,3902646401,19.513232,
