dataset,compiler,machine,load_factor,reducer,hash,max_in_single_slot,empty_slots,expected_empty_slots,colliding_slots,expected_colliding_slots,colliding_keys,expected_colliding_keys,exclusive_slots,expected_exclusive_slots,,sample_size
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,radix_spline,1,0.00,0.37,0.00,0.26,0.00,0.63,1.00,0.37,,1.00
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,fastrange64,mult_prime_shift36_64,200000000,1.00,0.37,0.00,0.26,1.00,0.63,0.00,0.37,,
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,fastrange64,mult_fibonacci_shift36_64,200000000,1.00,0.37,0.00,0.26,1.00,0.63,0.00,0.37,,
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,fastrange64,mult_fibonacci_prime_shift36_64,200000000,1.00,0.37,0.00,0.26,1.00,0.63,0.00,0.37,,
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,pgm_hash_eps128,1082,0.01,0.37,0.01,0.26,0.01,0.63,0.99,0.37,,0.10
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,radix_spline,2,0.01,0.37,0.01,0.26,0.02,0.63,0.98,0.37,,0.00
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,radix_spline,2,0.01,0.37,0.01,0.26,0.02,0.63,0.98,0.37,,0.01
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,radix_spline,2,0.01,0.37,0.01,0.26,0.02,0.63,0.98,0.37,,0.10
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,pgm_hash_eps256,1601,0.02,0.37,0.02,0.26,0.05,0.63,0.95,0.37,,0.10
consecutive_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),1,clamp,pgm_hash_eps128,12194,0.06,0.37,0.06,0.26,0.13,0.63,0.87,0.37,,0.01
